candidate_id,round,passive_reduce_after_bars,active_reduce_after_bars,passive_reduce_fraction,active_reduce_fraction,development_mean_seed_total_pnl,mean_seed_total_pnl,worst_seed_total_pnl,worst_5pct_window_mean_pnl,max_drawdown_pct,profitable_to_losing_ratio,median_peak_profit_giveback_pct,passive_reduce_reprice_count,passive_reduce_fill_count,active_reduce_count,active_reduce_cost,median_active_inventory_reduction_pct,passed_gate_count,all_gates_passed
P3_R1_P30_A360_F20,p3_round_1_passive_timing,30,360,0.2,0.2,15.454416257505915,23.246534146235838,18.376942037475008,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
P3_R1_P60_A360_F20,p3_round_1_passive_timing,60,360,0.2,0.2,15.418476473273037,23.210025504450183,18.35093740269334,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,25,14,3,0.42699956935,1.0,10,False
P3_R1_P120_A360_F20,p3_round_1_passive_timing,120,360,0.2,0.2,15.397227287662126,23.18258002769247,18.248434734531216,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,23,11,3,0.42753399115,1.0,10,False
P3_R2_P30_A120_F20,p3_round_2_active_timing,30,120,0.2,0.2,15.295014216876798,23.06612045667894,18.46120855873009,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,48,29,20,1.32115764081,0.19615384615384618,10,False
P3_R2_P30_A240_F20,p3_round_2_active_timing,30,240,0.2,0.2,15.036495121365004,22.807601361167148,18.42594790480876,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,45,29,17,0.91263247344,0.19230769230769226,10,False
P3_R2_P30_A360_F20,p3_round_2_active_timing,30,360,0.2,0.2,15.454416257505915,23.246534146235838,18.376942037475008,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
P3_R3_P30_A360_PF20_AF20,p3_round_3_reduce_fraction,30,360,0.2,0.2,15.454416257505915,23.246534146235838,18.376942037475008,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
P3_R3_P30_A360_PF20_AF35,p3_round_3_reduce_fraction,30,360,0.2,0.35,15.454416257505915,23.246534146235838,18.376942037475008,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
P3_R3_P30_A360_PF35_AF20,p3_round_3_reduce_fraction,30,360,0.35,0.2,15.472946971677699,23.26577199435596,18.39757204338497,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
P3_R3_P30_A360_PF35_AF35,p3_round_3_reduce_fraction,30,360,0.35,0.35,15.472946971677699,23.26577199435596,18.39757204338497,-3.323583028320009,0.015277456037785719,0.4172767203513909,0.4918338607701537,31,18,3,0.42699956935,1.0,10,False
