bar_count,end_time,force_close_at,market_group,next_reference_open,previous_market_close,split,start_time,symbol,window_key,window_kind
3360,2026-04-13T03:59:00+00:00,2026-04-13T06:00:00+00:00,US_STOCK,2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00,Development,2026-04-10T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,WEEKEND
3360,2026-04-20T03:59:00+00:00,2026-04-20T06:00:00+00:00,US_STOCK,2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00,Development,2026-04-17T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,WEEKEND
3360,2026-04-27T03:59:00+00:00,2026-04-27T06:00:00+00:00,US_STOCK,2026-04-27T08:00:00+00:00,2026-04-24T20:00:00+00:00,Development,2026-04-24T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,WEEKEND
3360,2026-05-04T03:59:00+00:00,2026-05-04T06:00:00+00:00,US_STOCK,2026-05-04T08:00:00+00:00,2026-05-01T20:00:00+00:00,Development,2026-05-01T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,WEEKEND
3360,2026-05-11T03:59:00+00:00,2026-05-11T06:00:00+00:00,US_STOCK,2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00,Development,2026-05-08T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND
3360,2026-05-18T03:59:00+00:00,2026-05-18T06:00:00+00:00,US_STOCK,2026-05-18T08:00:00+00:00,2026-05-15T20:00:00+00:00,Development,2026-05-15T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND
4800,2026-05-26T03:59:00+00:00,2026-05-26T06:00:00+00:00,US_STOCK,2026-05-26T08:00:00+00:00,2026-05-22T20:00:00+00:00,Development,2026-05-22T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,WEEKEND
3360,2026-06-01T03:59:00+00:00,2026-06-01T06:00:00+00:00,US_STOCK,2026-06-01T08:00:00+00:00,2026-05-29T20:00:00+00:00,Development,2026-05-29T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,WEEKEND
3360,2026-06-08T03:59:00+00:00,2026-06-08T06:00:00+00:00,US_STOCK,2026-06-08T08:00:00+00:00,2026-06-05T20:00:00+00:00,Validation,2026-06-05T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,WEEKEND
3360,2026-06-15T03:59:00+00:00,2026-06-15T06:00:00+00:00,US_STOCK,2026-06-15T08:00:00+00:00,2026-06-12T20:00:00+00:00,Validation,2026-06-12T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,WEEKEND
4800,2026-06-22T03:59:00+00:00,2026-06-22T06:00:00+00:00,US_STOCK,2026-06-22T08:00:00+00:00,2026-06-18T20:00:00+00:00,Validation,2026-06-18T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,WEEKEND
3360,2026-06-29T03:59:00+00:00,2026-06-29T06:00:00+00:00,US_STOCK,2026-06-29T08:00:00+00:00,2026-06-26T20:00:00+00:00,Validation,2026-06-26T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,WEEKEND
4800,2026-07-06T03:59:00+00:00,2026-07-06T06:00:00+00:00,US_STOCK,2026-07-06T08:00:00+00:00,2026-07-02T20:00:00+00:00,Final_OOS,2026-07-02T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,WEEKEND
3360,2026-07-13T03:59:00+00:00,2026-07-13T06:00:00+00:00,US_STOCK,2026-07-13T08:00:00+00:00,2026-07-10T20:00:00+00:00,Final_OOS,2026-07-10T20:00:00+00:00,SNDKUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,WEEKEND
