conclusion,engine_mode,market_group,passed,profile,reasons
REJECT,R0_STATIC_REPAIRED,KR_STOCK,False,L20,insufficient_windows;window_concentration_too_high
REJECT,R0_STATIC_REPAIRED,KR_STOCK,False,N20,insufficient_windows;window_concentration_too_high
REJECT,R0_STATIC_REPAIRED,US_LEVERAGED_ETF,False,N100,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R0_STATIC_REPAIRED,US_LEVERAGED_ETF,False,N20,insufficient_windows;low_positive_ratio;inventory_drag_too_high;window_concentration_too_high
REJECT,R0_STATIC_REPAIRED,US_STOCK,False,N100,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R0_STATIC_REPAIRED,US_STOCK,False,N20,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R1_CONTROLLER_FAITHFUL,KR_STOCK,False,L20,insufficient_windows;window_concentration_too_high
REJECT,R1_CONTROLLER_FAITHFUL,KR_STOCK,False,N20,insufficient_windows;window_concentration_too_high
REJECT,R1_CONTROLLER_FAITHFUL,US_LEVERAGED_ETF,False,N100,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R1_CONTROLLER_FAITHFUL,US_LEVERAGED_ETF,False,N20,insufficient_windows;low_positive_ratio;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R1_CONTROLLER_FAITHFUL,US_STOCK,False,N100,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
REJECT,R1_CONTROLLER_FAITHFUL,US_STOCK,False,N20,insufficient_windows;primary_not_positive;low_positive_ratio;low_profit_factor;inventory_drag_too_high;window_concentration_too_high;execution_stress_not_positive
