best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,3.5921992283934134,R0_STATIC_REPAIRED,0.08368039679999999,0.0,3.6758796251934136,KR_STOCK,3.5535000000000077,0.007107000000000015,0.0,3.5921992283934134,3.5921992283934134,1.0,L20,3.5921992283934134,1,EXECUTION_STRESS,3,1.0,0.08368039679999999,3.5921992283934134,1,3.5921992283934134
1.0,6.075044764748835,R0_STATIC_REPAIRED,0.08368039679999999,0.0,6.158725161548835,KR_STOCK,3.5535000000000077,0.007107000000000015,0.0,6.075044764748835,6.075044764748835,1.0,L20,6.075044764748835,1,EXECUTION_STRESS,10,1.0,0.08368039679999999,6.075044764748835,1,6.075044764748835
1.0,4.75086047869261,R0_STATIC_REPAIRED,0.08368039679999999,0.0,4.8345408754926105,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,4.75086047869261,4.75086047869261,1.0,L20,4.75086047869261,1,EXECUTION_STRESS,17,1.0,0.08368039679999999,4.75086047869261,1,4.75086047869261
1.0,3.5921992283934134,R0_STATIC_REPAIRED,0.08368039679999999,0.0,3.6758796251934136,KR_STOCK,3.5535000000000077,0.007107000000000015,0.0,3.5921992283934134,3.5921992283934134,1.0,L20,3.5921992283934134,1,EXECUTION_STRESS,31,1.0,0.08368039679999999,3.5921992283934134,1,3.5921992283934134
1.0,4.75086047869261,R0_STATIC_REPAIRED,0.08368039679999999,0.0,4.8345408754926105,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,4.75086047869261,4.75086047869261,1.0,L20,4.75086047869261,1,EXECUTION_STRESS,59,1.0,0.08368039679999999,4.75086047869261,1,4.75086047869261
1.0,3.5921992283934134,R0_STATIC_REPAIRED,0.08368039679999999,0.0,3.6758796251934136,KR_STOCK,3.5535000000000077,0.007107000000000015,0.0,3.5921992283934134,3.5921992283934134,1.0,L20,3.5921992283934134,1,EXECUTION_STRESS,97,1.0,0.08368039679999999,3.5921992283934134,1,3.5921992283934134
1.0,9.38266021786438,R0_STATIC_REPAIRED,0.4175717303390728,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.38266021786438,9.38266021786438,1.0,L20,9.38266021786438,1,MAKER_PROMO_OFF,3,1.0,0.4175717303390728,9.38266021786438,1,9.38266021786438
1.0,9.38266021786438,R0_STATIC_REPAIRED,0.4175717303390728,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.38266021786438,9.38266021786438,1.0,L20,9.38266021786438,1,MAKER_PROMO_OFF,10,1.0,0.4175717303390728,9.38266021786438,1,9.38266021786438
1.0,9.38266021786438,R0_STATIC_REPAIRED,0.4175717303390728,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.38266021786438,9.38266021786438,1.0,L20,9.38266021786438,1,MAKER_PROMO_OFF,17,1.0,0.4175717303390728,9.38266021786438,1,9.38266021786438
1.0,9.38266021786438,R0_STATIC_REPAIRED,0.4175717303390728,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.38266021786438,9.38266021786438,1.0,L20,9.38266021786438,1,MAKER_PROMO_OFF,31,1.0,0.4175717303390728,9.38266021786438,1,9.38266021786438
1.0,6.9958330307060415,R0_STATIC_REPAIRED,0.321553381141991,0.0,7.317386411848032,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,6.9958330307060415,6.9958330307060415,1.0,L20,6.9958330307060415,1,MAKER_PROMO_OFF,59,1.0,0.321553381141991,6.9958330307060415,1,6.9958330307060415
1.0,6.9958330307060415,R0_STATIC_REPAIRED,0.321553381141991,0.0,7.317386411848032,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,6.9958330307060415,6.9958330307060415,1.0,L20,6.9958330307060415,1,MAKER_PROMO_OFF,97,1.0,0.321553381141991,6.9958330307060415,1,6.9958330307060415
1.0,9.744445017003454,R0_STATIC_REPAIRED,0.055786931199999994,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.744445017003454,9.744445017003454,1.0,L20,9.744445017003454,1,PRIMARY_ZERO_MAKER,3,1.0,0.055786931199999994,9.744445017003454,1,9.744445017003454
1.0,9.744445017003454,R0_STATIC_REPAIRED,0.055786931199999994,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.744445017003454,9.744445017003454,1.0,L20,9.744445017003454,1,PRIMARY_ZERO_MAKER,10,1.0,0.055786931199999994,9.744445017003454,1,9.744445017003454
1.0,9.744445017003454,R0_STATIC_REPAIRED,0.055786931199999994,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.744445017003454,9.744445017003454,1.0,L20,9.744445017003454,1,PRIMARY_ZERO_MAKER,17,1.0,0.055786931199999994,9.744445017003454,1,9.744445017003454
1.0,9.744445017003454,R0_STATIC_REPAIRED,0.055786931199999994,0.0,9.800231948203454,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,9.744445017003454,9.744445017003454,1.0,L20,9.744445017003454,1,PRIMARY_ZERO_MAKER,31,1.0,0.055786931199999994,9.744445017003454,1,9.744445017003454
1.0,7.261599480648032,R0_STATIC_REPAIRED,0.055786931199999994,0.0,7.317386411848032,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,7.261599480648032,7.261599480648032,1.0,L20,7.261599480648032,1,PRIMARY_ZERO_MAKER,59,1.0,0.055786931199999994,7.261599480648032,1,7.261599480648032
1.0,7.261599480648032,R0_STATIC_REPAIRED,0.055786931199999994,0.0,7.317386411848032,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,7.261599480648032,7.261599480648032,1.0,L20,7.261599480648032,1,PRIMARY_ZERO_MAKER,97,1.0,0.055786931199999994,7.261599480648032,1,7.261599480648032
1.0,1.809375954627634,R0_STATIC_REPAIRED,0.08593160509860102,0.0,1.832929810691235,KR_STOCK,2.4948050698999467,0.004989610139799893,0.4435818166168397,1.809375954627634,1.809375954627634,1.0,N20,1.809375954627634,1,EXECUTION_STRESS,3,1.0,0.08593160509860102,1.809375954627634,1,1.809375954627634
1.0,4.4577445267400835,R0_STATIC_REPAIRED,0.08593160509860102,0.0,4.4812983828036845,KR_STOCK,2.4948050698999467,0.004989610139799893,0.26161744437594703,4.4577445267400835,4.4577445267400835,1.0,N20,4.4577445267400835,1,EXECUTION_STRESS,10,1.0,0.08593160509860102,4.4577445267400835,1,4.4577445267400835
1.0,1.809375954627634,R0_STATIC_REPAIRED,0.08593160509860102,0.0,1.832929810691235,KR_STOCK,2.4948050698999467,0.004989610139799893,0.4435818166168397,1.809375954627634,1.809375954627634,1.0,N20,1.809375954627634,1,EXECUTION_STRESS,17,1.0,0.08593160509860102,1.809375954627634,1,1.809375954627634
1.0,1.809375954627634,R0_STATIC_REPAIRED,0.08593160509860102,0.0,1.832929810691235,KR_STOCK,2.597005069899949,0.005194010139799898,0.4435818166168397,1.809375954627634,1.809375954627634,1.0,N20,1.809375954627634,1,EXECUTION_STRESS,31,1.0,0.08593160509860102,1.809375954627634,1,1.809375954627634
1.0,2.968037204926831,R0_STATIC_REPAIRED,0.08593160509860102,0.0,2.991591060990432,KR_STOCK,2.597005069899949,0.005194010139799898,0.3400926356633803,2.968037204926831,2.968037204926831,1.0,N20,2.968037204926831,1,EXECUTION_STRESS,59,1.0,0.08593160509860102,2.968037204926831,1,2.968037204926831
1.0,2.968037204926831,R0_STATIC_REPAIRED,0.08593160509860102,0.0,2.991591060990432,KR_STOCK,3.171705069899951,0.0063434101397999015,0.3400926356633803,2.968037204926831,2.968037204926831,1.0,N20,2.968037204926831,1,EXECUTION_STRESS,97,1.0,0.08593160509860102,2.968037204926831,1,2.968037204926831
