profile,r0_best_window_concentration,r0_max_drawdown,r0_mean_inventory_drag_ratio,r0_net_pnl,r1_best_window_concentration,r1_max_drawdown,r1_mean_inventory_drag_ratio,r1_minus_r0_concentration,r1_minus_r0_drawdown,r1_minus_r0_inventory_drag,r1_minus_r0_net_pnl,r1_net_pnl,scenario,symbol
N100,1.0,3.727585018719437,4.4802266588364645,-3.0267388032271207,1.0,3.2293461282736464,4.4802266588364645,0.0,-0.4982388904457906,0.0,0.0,-3.0267388032271207,EXECUTION_STRESS,MUUSDT
N100,1.0,3.3894856724437177,3.124667360895463,-2.4676098543648783,1.0,2.5160659632843503,3.124667360895463,0.0,-0.8734197091593674,0.0,0.0,-2.4676098543648783,PRIMARY_ZERO_MAKER,MUUSDT
N20,1.0,7.430614296089008,4.0867887598487895,-13.711532252834266,1.0,5.8430211197665,2.4141909786101854,0.0,-1.5875931763225077,-1.6725977812386041,1.5686283598110684,-12.142903893023197,EXECUTION_STRESS,MUUSDT
N20,1.0,6.374982095289623,3.7058290428641327,-12.809250413840044,1.0,5.606700546150066,2.232766992718508,0.0,-0.7682815491395569,-1.4730620501456246,1.7683698104045984,-11.040880603435445,MAKER_PROMO_OFF,MUUSDT
N20,1.0,6.234011157263154,3.7058290428641327,-10.986059424242141,1.0,5.361176103749798,2.232766992718508,0.0,-0.8728350535133567,-1.4730620501456246,2.107307904597606,-8.878751519644535,PRIMARY_ZERO_MAKER,MUUSDT
L20,1.0,3.5535000000000085,0.0,4.392227234552383,1.0,0.0,0.0,0.0,-3.5535000000000085,0.0,0.0,4.392227234552383,EXECUTION_STRESS,SKHYNIXUSDT
L20,1.0,3.5535000000000085,0.0,8.587051155478267,1.0,0.0,0.0,0.0,-3.5535000000000085,0.0,0.0,8.587051155478267,MAKER_PROMO_OFF,SKHYNIXUSDT
L20,1.0,3.5535000000000085,0.0,8.916829838218312,1.0,0.0,0.0,0.0,-3.5535000000000085,0.0,0.0,8.916829838218312,PRIMARY_ZERO_MAKER,SKHYNIXUSDT
N20,1.0,3.171705069899951,0.37875802759220445,2.6369911334127747,1.0,0.0,0.37875802759220445,0.0,-3.171705069899951,0.0,0.0,2.6369911334127747,EXECUTION_STRESS,SKHYNIXUSDT
N20,1.0,3.0287143075671485,0.2178444427306173,5.760663928146094,1.0,0.0,0.2178444427306173,0.0,-3.0287143075671485,0.0,0.0,5.760663928146094,MAKER_PROMO_OFF,SKHYNIXUSDT
N20,1.0,2.971540860583824,0.2178444427306173,6.147616057869466,1.0,0.0,0.2178444427306173,0.0,-2.971540860583824,0.0,0.0,6.147616057869466,PRIMARY_ZERO_MAKER,SKHYNIXUSDT
N100,1.0,3.1221037485212837,13.080626410324912,-5.300692024870542,1.0,3.1078037485212806,13.080626410324912,0.0,-0.014300000000003088,0.0,0.0,-5.300692024870542,EXECUTION_STRESS,SNDKUSDT
N100,1.0,2.900920220385621,9.769584516266201,-4.671780563691307,1.0,2.8491543375401096,9.769584516266201,0.0,-0.051765882845511424,0.0,0.0,-4.671780563691307,PRIMARY_ZERO_MAKER,SNDKUSDT
N20,1.0,6.2623073041840716,120.57061114787929,-7.5697911141726015,1.0,5.658637226006714,120.57061114787929,0.0,-0.6036700781773572,0.0,0.0,-7.5697911141726015,EXECUTION_STRESS,SNDKUSDT
N20,1.0,5.978723698720081,120.52254753159269,-5.524418243686811,1.0,5.421418940542725,120.52254753159269,0.0,-0.5573047581773567,0.0,0.0,-5.524418243686811,MAKER_PROMO_OFF,SNDKUSDT
N20,1.0,5.865244842284803,120.52254753159269,-3.952334727584907,1.0,5.261574764107446,120.52254753159269,0.0,-0.6036700781773572,0.0,0.0,-3.952334727584907,PRIMARY_ZERO_MAKER,SNDKUSDT
N100,1.0,1.9659457149456514,1.9632653482227316,-1.0798031566433557,1.0,1.1515316521163363,1.9632653482227316,0.0,-0.814414062829315,0.0,0.0,-1.0798031566433557,EXECUTION_STRESS,SOXLUSDT
N100,1.0,1.7741727783288201,1.2702404970778716,-0.47474254950710426,1.0,0.5606641095337036,1.2702404970778716,0.0,-1.2135086687951167,0.0,0.0,-0.47474254950710426,PRIMARY_ZERO_MAKER,SOXLUSDT
N20,1.0,3.5292324123377874,0.8586611199846277,0.6032355346377781,1.0,1.6309772432570386,0.8664531389944087,0.0,-1.8982551690807488,0.007792019009780993,-0.605412271714645,-0.0021767370768668304,EXECUTION_STRESS,SOXLUSDT
N20,1.0,3.2974682821717876,0.8168758346671066,1.0783661612387099,1.0,1.545145210876115,0.7998906439677957,0.0,-1.7523230712956726,-0.016985190699310815,-0.3707485631073967,0.7076175981313132,MAKER_PROMO_OFF,SOXLUSDT
N20,1.0,3.22379954110228,0.8168758346671066,1.5439198547242068,1.0,1.2050435597687352,0.7998906439677957,0.0,-2.0187559813335447,-0.016985190699310815,-0.07385344287551865,1.4700664118486881,PRIMARY_ZERO_MAKER,SOXLUSDT
