attribution_note,corrected_window_end,incomplete_window_exclusion,inventory_accounting,net_pnl_delta,other,profile,regime_admission,scenario,symbol,v271_net_pnl,v271_unique_windows,v272_r0_net_pnl,v272_r0_unique_windows
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,4.54630982562627,funding_sign_split;exposed_reclassification;no_future_funding_projection,N100,APPLIED,EXECUTION_STRESS,MUUSDT,-7.573048628853391,3,-3.0267388032271207,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,3.6401557867548058,funding_sign_split;exposed_reclassification;no_future_funding_projection,N100,APPLIED,PRIMARY_ZERO_MAKER,MUUSDT,-6.107765641119684,3,-2.4676098543648783,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,23.246066017136535,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,EXECUTION_STRESS,MUUSDT,-36.9575982699708,12,-13.711532252834266,5
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,16.682577571563236,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,MAKER_PROMO_OFF,MUUSDT,-29.49182798540328,11,-12.809250413840044,5
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,19.187288566458683,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,PRIMARY_ZERO_MAKER,MUUSDT,-30.173347990700826,12,-10.986059424242141,5
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,8.418255038226423,funding_sign_split;exposed_reclassification;no_future_funding_projection,L20,APPLIED,EXECUTION_STRESS,SKHYNIXUSDT,-4.026027803674039,3,4.392227234552383,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,8.00852705458048,funding_sign_split;exposed_reclassification;no_future_funding_projection,L20,APPLIED,MAKER_PROMO_OFF,SKHYNIXUSDT,0.5785241008977868,3,8.587051155478267,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,7.578034703167422,funding_sign_split;exposed_reclassification;no_future_funding_projection,L20,APPLIED,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,1.3387951350508902,3,8.916829838218312,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,5.983805956354951,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,EXECUTION_STRESS,SKHYNIXUSDT,-3.346814822942176,8,2.6369911334127747,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,3.2716580394947306,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,MAKER_PROMO_OFF,SKHYNIXUSDT,2.4890058886513637,8,5.760663928146094,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,0.6904302889634621,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,5.457185768906004,8,6.147616057869466,1
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,-6.0614167083294435,funding_sign_split;exposed_reclassification;no_future_funding_projection,N100,APPLIED,EXECUTION_STRESS,SNDKUSDT,0.7607246834589014,3,-5.300692024870542,2
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,-4.369882975022625,funding_sign_split;exposed_reclassification;no_future_funding_projection,N100,APPLIED,PRIMARY_ZERO_MAKER,SNDKUSDT,-0.30189758866868227,3,-4.671780563691307,2
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,-15.155141633714893,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,EXECUTION_STRESS,SNDKUSDT,7.585350519542291,9,-7.5697911141726015,4
总差值是耦合修复后的联合效应；未通过事后消融把收益强行分摊到单一修复项。,APPLIED,APPLIED,APPLIED,-24.57368530910542,funding_sign_split;exposed_reclassification;no_future_funding_projection,N20,APPLIED,MAKER_PROMO_OFF,SNDKUSDT,19.04926706541861,8,-5.524418243686811,4
