combination_id,grid,inventory,profit,range,stop
11111,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
12111,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
13111,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
14111,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
21111,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
31111,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
41111,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11211,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11311,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11411,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
