available_neighbor_count,candidate_primary_net_pnl,combination_id,direction,neighbor_ids,neighbor_median_net_pnl,neighbor_positive_ratio,neighbor_stress_nonnegative_ratio,stable_region_candidate,status
5,-5.546661294389702,21111,NEUTRAL,21112;21121;21211;22111;31111,-8.140885880726476,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-8.140885880726476,21112,NEUTRAL,21111;21122;21212;22112;31112,-6.269933913535389,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-5.546661294389702,21121,NEUTRAL,21111;21122;21221;22121;31121,-8.140885880726476,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-8.140885880726476,21122,NEUTRAL,21112;21121;21222;22122;31122,-6.251617162847591,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-8.92588303208373,21211,NEUTRAL,21111;21212;21221;22211;31211,-8.140885880726476,0.2,0.0,False,ISOLATED_OR_UNSTABLE
5,-8.140885880726476,21212,NEUTRAL,21112;21211;21222;22212;31212,-8.140885880726476,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-8.92588303208373,21221,NEUTRAL,21121;21211;21222;22221;31221,-8.140885880726476,0.2,0.0,False,ISOLATED_OR_UNSTABLE
5,-8.140885880726476,21222,NEUTRAL,21122;21212;21221;22222;31222,-8.140885880726476,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-18.723326689171277,22111,NEUTRAL,21111;22112;22121;22211;32111,-6.269933913535389,0.2,0.0,False,ISOLATED_OR_UNSTABLE
5,-6.269933913535389,22112,NEUTRAL,21112;22111;22122;22212;32112,-7.743514262661984,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,-18.388399090891035,22121,NEUTRAL,21121;22111;22122;22221;32121,-6.251617162847591,0.2,0.0,False,ISOLATED_OR_UNSTABLE
5,-6.251617162847591,22122,NEUTRAL,21122;22112;22121;22222;32122,-7.721294338556365,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,-18.723326689171277,22211,NEUTRAL,21211;22111;22212;22221;32211,-8.92588303208373,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,-6.269933913535389,22212,NEUTRAL,21212;22112;22211;22222;32212,-7.743514262661984,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,-18.388399090891035,22221,NEUTRAL,21221;22121;22211;22222;32221,-8.92588303208373,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,-6.251617162847591,22222,NEUTRAL,21222;22122;22212;22221;32222,-7.721294338556365,0.0,0.0,False,ISOLATED_OR_UNSTABLE
5,12.810754507174696,31111,NEUTRAL,21111;31112;31121;31211;32111,5.089034142409422,0.8,0.4,True,STABLE
5,5.089034142409422,31112,NEUTRAL,21112;31111;31122;31212;32112,3.8866533673536967,0.6,0.6,True,STABLE
5,12.810754507174696,31121,NEUTRAL,21121;31111;31122;31221;32121,5.089034142409422,0.8,0.4,True,STABLE
5,5.089034142409422,31122,NEUTRAL,21122;31112;31121;31222;32122,3.8866533673536967,0.6,0.6,True,STABLE
5,8.868357581656925,31211,NEUTRAL,21211;31111;31212;31221;32211,3.8866533673536967,0.6,0.4,True,STABLE
5,3.8866533673536967,31212,NEUTRAL,21212;31112;31211;31222;32212,3.8866533673536967,0.6,0.4,True,STABLE
5,8.868357581656925,31221,NEUTRAL,21221;31121;31211;31222;32221,3.8866533673536967,0.6,0.4,True,STABLE
5,3.8866533673536967,31222,NEUTRAL,21222;31122;31212;31221;32222,3.8866533673536967,0.6,0.4,True,STABLE
5,0.6141846280697345,32111,NEUTRAL,22111;31111;32112;32121;32211,-6.263169695963869,0.4,0.2,False,ISOLATED_OR_UNSTABLE
5,-7.743514262661984,32112,NEUTRAL,22112;31112;32111;32122;32212,-6.269933913535389,0.4,0.2,False,ISOLATED_OR_UNSTABLE
5,0.770229272722398,32121,NEUTRAL,22121;31121;32111;32122;32221,-3.79265645088837,0.4,0.2,False,ISOLATED_OR_UNSTABLE
5,-7.721294338556365,32122,NEUTRAL,22122;31122;32112;32121;32222,-6.251617162847591,0.4,0.2,False,ISOLATED_OR_UNSTABLE
5,-6.263169695963869,32211,NEUTRAL,22211;31211;32111;32212;32221,-3.79265645088837,0.4,0.0,False,ISOLATED_OR_UNSTABLE
5,-7.743514262661984,32212,NEUTRAL,22212;31212;32112;32211;32222,-6.269933913535389,0.2,0.2,False,ISOLATED_OR_UNSTABLE
5,-3.79265645088837,32221,NEUTRAL,22221;31221;32121;32211;32222,-6.263169695963869,0.4,0.0,False,ISOLATED_OR_UNSTABLE
5,-7.721294338556365,32222,NEUTRAL,22222;31222;32122;32212;32221,-6.251617162847591,0.2,0.2,False,ISOLATED_OR_UNSTABLE
