interaction,left_level,mean_total_pnl,median_total_pnl,profile_count,right_level,scenario
AxB,1,-1.5423332930673688,2.168562722371129,22,1,EXECUTION_STRESS
AxB,1,-1.017547485016969,-0.7042889096079669,6,2,EXECUTION_STRESS
AxB,1,-2.9143540773615912,-2.7995331277807143,7,3,EXECUTION_STRESS
AxB,2,-1.1160616362256441,3.4226027016230045,8,1,EXECUTION_STRESS
AxB,2,1.1152381355560739,0.9668618078778115,16,2,EXECUTION_STRESS
AxB,2,-3.022153778740742,-0.26339736983781986,5,3,EXECUTION_STRESS
AxB,3,4.05743529749954,4.122126859658584,6,1,EXECUTION_STRESS
AxB,3,-1.8056168736392082,-0.832042830533015,20,2,EXECUTION_STRESS
AxB,3,-0.8551887146243168,-0.1941393793540949,6,3,EXECUTION_STRESS
AxB,4,0.07677877751234936,-1.2058948781771162,12,1,EXECUTION_STRESS
AxB,4,-2.150880732983561,-1.8843603264744249,6,2,EXECUTION_STRESS
AxB,4,-5.691865026413219,-9.484004866399646,9,3,EXECUTION_STRESS
AxE,1,-4.396809363027135,-1.5450020732420193,18,1,EXECUTION_STRESS
AxE,1,2.5722869997692093,2.326389925583487,3,2,EXECUTION_STRESS
AxE,1,2.431039501384383,1.9039245228415886,3,3,EXECUTION_STRESS
AxE,1,1.1274338293637942,-0.41844883582342707,4,4,EXECUTION_STRESS
AxE,1,-0.1163203122203721,-1.5028672327159467,7,5,EXECUTION_STRESS
AxE,2,-4.647054205689688,-3.70334933639453,4,1,EXECUTION_STRESS
AxE,2,-0.036789963685207386,-0.26339736983781986,5,2,EXECUTION_STRESS
AxE,2,-1.5662863483959875,-2.743094460389665,7,3,EXECUTION_STRESS
AxE,2,0.5955782038897335,-0.26339736983781986,9,4,EXECUTION_STRESS
AxE,2,4.545128857584354,5.101138230426913,4,5,EXECUTION_STRESS
AxE,3,2.745157585669149,0.0960903312916809,6,1,EXECUTION_STRESS
AxE,3,0.138695779133843,1.9843300603821667,6,2,EXECUTION_STRESS
AxE,3,-2.715652564209221,-0.832042830533015,8,3,EXECUTION_STRESS
AxE,3,-1.187432887727705,-0.832042830533015,8,4,EXECUTION_STRESS
AxE,3,-0.7443236372138426,-1.2114759340545227,4,5,EXECUTION_STRESS
AxE,4,-1.059822990798207,-1.059822990798207,2,1,EXECUTION_STRESS
AxE,4,-2.125906243066826,-1.6309674134086924,10,2,EXECUTION_STRESS
AxE,4,1.5387452644149449,-0.37399890501954597,3,3,EXECUTION_STRESS
AxE,4,-2.9341696618656465,-6.441400940551754,5,4,EXECUTION_STRESS
AxE,4,-4.253914768160582,-4.8598230625231285,7,5,EXECUTION_STRESS
BxD,1,0.20001041177920767,4.001350760998234,24,1,EXECUTION_STRESS
BxD,1,-3.9699576483535477,-0.6157383697593214,6,2,EXECUTION_STRESS
BxD,1,0.7906277095563184,4.122126859658584,12,3,EXECUTION_STRESS
BxD,1,-1.3436508215662262,-1.2114759340545227,6,4,EXECUTION_STRESS
BxD,2,-0.04770755129223799,4.906536140764294,12,1,EXECUTION_STRESS
BxD,2,-2.3564049828996434,0.12668503457359415,8,2,EXECUTION_STRESS
BxD,2,-0.4966884574296287,0.7538384989435751,14,3,EXECUTION_STRESS
BxD,2,-0.778694837797954,-0.7042889096079669,14,4,EXECUTION_STRESS
BxD,3,-4.851748788033811,-6.974493018489592,5,1,EXECUTION_STRESS
BxD,3,-4.041629221046779,-6.9831181368674375,5,2,EXECUTION_STRESS
BxD,3,-6.371567514339771,-7.160288392095126,7,3,EXECUTION_STRESS
BxD,3,-0.2801302314918369,-0.3186981374286829,10,4,EXECUTION_STRESS
CxD,1,0.4214157776040668,5.1568034057567465,21,1,EXECUTION_STRESS
CxD,1,-5.585903900640115,-3.581022562373439,4,2,EXECUTION_STRESS
CxD,1,-1.2174980968119338,3.8716693305768186,7,3,EXECUTION_STRESS
CxD,1,-1.1531577775813697,-0.12683582661853604,5,4,EXECUTION_STRESS
CxD,2,0.19306233356805858,4.906536140764294,10,1,EXECUTION_STRESS
CxD,2,-1.187869661853889,-1.187869661853889,2,2,EXECUTION_STRESS
CxD,2,-2.6968419135827264,-4.0907264202201,9,3,EXECUTION_STRESS
CxD,2,-0.6802374862680727,-0.3186981374286829,10,4,EXECUTION_STRESS
CxD,3,-1.5574953524322623,-0.38580859974437054,6,1,EXECUTION_STRESS
CxD,3,-3.1250187161409704,-2.5466880958874114,4,2,EXECUTION_STRESS
CxD,3,0.1780840368473481,1.063784959179403,10,3,EXECUTION_STRESS
CxD,3,-0.583436951451268,-0.37399890501954597,7,4,EXECUTION_STRESS
CxD,4,-5.366591805936835,-6.242197875049053,4,1,EXECUTION_STRESS
CxD,4,-2.851078007524467,-1.1881135230313427,9,2,EXECUTION_STRESS
CxD,4,-1.579122136894684,-0.8377323404270902,7,3,EXECUTION_STRESS
CxD,4,-0.6390890703425789,-0.3186981374286829,8,4,EXECUTION_STRESS
CxE,1,-3.036918453793249,-0.010380118215510666,18,1,EXECUTION_STRESS
CxE,1,0.44806552631211777,2.326389925583487,7,2,EXECUTION_STRESS
CxE,1,0.35269230080109226,3.7556489086303295,4,3,EXECUTION_STRESS
CxE,1,2.959156568335555,2.959156568335555,2,4,EXECUTION_STRESS
CxE,1,2.7361385509587897,4.136648652371071,6,5,EXECUTION_STRESS
CxE,2,-0.6696790006144155,-0.6696790006144155,2,1,EXECUTION_STRESS
CxE,2,-1.4733847484982465,-0.7141147232376837,6,2,EXECUTION_STRESS
CxE,2,-1.7213138910812833,-1.0675376781365453,8,3,EXECUTION_STRESS
CxE,2,-0.4128942143642159,-0.26339736983781986,9,4,EXECUTION_STRESS
CxE,2,-0.6421404204676561,-0.7042889096079669,6,5,EXECUTION_STRESS
CxE,3,-3.0008909038273237,-0.832042830533015,6,1,EXECUTION_STRESS
CxE,3,0.329826726246961,-0.3186981374286829,4,2,EXECUTION_STRESS
CxE,3,0.04720880935487415,1.0818570328170356,6,3,EXECUTION_STRESS
CxE,3,-0.8946366132942347,-0.7042889096079669,8,4,EXECUTION_STRESS
CxE,3,-0.19612890088070714,-0.37399890501954597,3,5,EXECUTION_STRESS
CxE,4,-2.3425625580893565,-0.1941393793540949,4,1,EXECUTION_STRESS
CxE,4,-1.2156333818809717,-0.33175720436845985,7,2,EXECUTION_STRESS
CxE,4,-2.9011271952436815,-1.279695823798098,3,3,EXECUTION_STRESS
CxE,4,-1.3350777942466259,-0.8377323404270902,7,4,EXECUTION_STRESS
CxE,4,-3.9091466802127592,-2.7995331277807143,7,5,EXECUTION_STRESS
AxC,1,-1.3748820483262347,2.115157224212538,20,1,EXECUTION_STRESS
AxC,1,-1.1094937896450958,-1.5028672327159467,5,2,EXECUTION_STRESS
AxC,1,-2.5857847270811964,-0.7042889096079669,4,3,EXECUTION_STRESS
AxC,1,-2.8414745126733507,-2.0396144757894064,6,4,EXECUTION_STRESS
AxC,2,-0.800819795121525,3.9891194847417957,4,1,EXECUTION_STRESS
AxC,2,0.494006818713709,-0.08455397816890342,10,2,EXECUTION_STRESS
AxC,2,-0.5742336829819878,-0.26339736983781986,7,3,EXECUTION_STRESS
AxC,2,-0.48907563004859445,-0.29757728710313985,8,4,EXECUTION_STRESS
AxC,3,2.381396980951635,4.764693897248549,8,1,EXECUTION_STRESS
AxC,3,-1.733170906245449,-0.832042830533015,12,2,EXECUTION_STRESS
AxC,3,-1.7794444433862084,-0.832042830533015,6,3,EXECUTION_STRESS
AxC,3,-0.7458860479805441,-0.1941393793540949,6,4,EXECUTION_STRESS
AxC,4,-3.2264831078135456,-2.887935921797839,5,1,EXECUTION_STRESS
AxC,4,-2.5284041092296694,-3.4076999227856497,4,2,EXECUTION_STRESS
AxC,4,0.08911760786731003,-0.37399890501954597,10,3,EXECUTION_STRESS
AxC,4,-4.731983551019855,-5.949891440911401,8,4,EXECUTION_STRESS
AxB,1,0.3679508691816223,1.5588718914328052,22,1,MAKER_PROMO_OFF
AxB,1,-1.8667446086878472,-0.48524077420309913,6,2,MAKER_PROMO_OFF
AxB,2,0.5642078219814599,6.886077643462025,8,1,MAKER_PROMO_OFF
AxB,2,2.2774046009270448,1.7037123582373432,16,2,MAKER_PROMO_OFF
AxB,3,6.071239752413934,5.307420390573533,6,1,MAKER_PROMO_OFF
AxB,3,-1.144275899296647,-0.5843412951772754,20,2,MAKER_PROMO_OFF
AxB,4,1.2999742933275897,-0.4387303537544851,12,1,MAKER_PROMO_OFF
AxB,4,1.471508467107249,3.6458798495926272,6,2,MAKER_PROMO_OFF
AxE,1,-2.02414355289837,-1.0382771724331505,16,1,MAKER_PROMO_OFF
AxE,1,3.8878779737377682,3.8878779737377682,2,2,MAKER_PROMO_OFF
AxE,1,3.716497354170077,3.716497354170077,2,3,MAKER_PROMO_OFF
AxE,1,0.88431712638396,-0.48524077420309913,4,4,MAKER_PROMO_OFF
AxE,1,2.6336822887227487,2.0211266953727574,4,5,MAKER_PROMO_OFF
AxE,2,-3.276250905196447,-2.9891285347111425,4,1,MAKER_PROMO_OFF
AxE,2,0.6419998041898174,0.7501543689255203,4,2,MAKER_PROMO_OFF
AxE,2,1.5432113926288478,1.995884013639266,4,3,MAKER_PROMO_OFF
AxE,2,2.0186751157514258,1.7037123582373432,8,4,MAKER_PROMO_OFF
AxE,2,7.291723524546028,7.718794326700303,4,5,MAKER_PROMO_OFF
AxE,3,6.492709483059547,3.2636813601637558,4,1,MAKER_PROMO_OFF
AxE,3,0.980443253191999,2.0670569961473024,6,2,MAKER_PROMO_OFF
AxE,3,-2.0903316693088847,-0.5843412951772754,8,3,MAKER_PROMO_OFF
AxE,3,-0.6158113284243003,-0.5843412951772754,4,4,MAKER_PROMO_OFF
AxE,3,0.21858043633218938,-1.054495372418431,4,5,MAKER_PROMO_OFF
AxE,4,1.3455332521887517,1.3455332521887517,2,1,MAKER_PROMO_OFF
AxE,4,0.20666954584244798,-0.4387303537544851,8,2,MAKER_PROMO_OFF
AxE,4,3.839668846902531,3.839668846902531,2,3,MAKER_PROMO_OFF
AxE,4,-0.04468535418297681,0.19559230970363162,4,4,MAKER_PROMO_OFF
AxE,4,6.291861587192164,6.291861587192164,2,5,MAKER_PROMO_OFF
BxD,1,1.9251854373698187,4.69854899840678,24,1,MAKER_PROMO_OFF
BxD,1,-1.5893626872049431,0.6311721387121654,6,2,MAKER_PROMO_OFF
BxD,1,2.8403966631928648,6.025815904635783,12,3,MAKER_PROMO_OFF
BxD,1,-1.0195537666163865,-0.9658887549975782,6,4,MAKER_PROMO_OFF
BxD,2,0.6188158340019131,5.110651781215855,12,1,MAKER_PROMO_OFF
BxD,2,-0.7234797823701501,1.7037123582373432,8,2,MAKER_PROMO_OFF
BxD,2,1.2302079569249282,2.0499831683479446,14,3,MAKER_PROMO_OFF
BxD,2,-0.5485231690424691,-0.4889640340343483,14,4,MAKER_PROMO_OFF
CxD,1,2.1274761344120945,6.10114867911161,20,1,MAKER_PROMO_OFF
CxD,1,-2.5652134837316893,-2.7202953018475267,4,2,MAKER_PROMO_OFF
CxD,1,3.9330970928824436,7.376801427830478,6,3,MAKER_PROMO_OFF
CxD,1,-1.0020829637153643,-0.9658887549975782,4,4,MAKER_PROMO_OFF
CxD,2,1.3926096190286974,5.110651781215855,10,1,MAKER_PROMO_OFF
CxD,2,-0.3609141562032209,0.3024319546528047,6,3,MAKER_PROMO_OFF
CxD,2,-0.5464347046849084,-0.4889640340343483,8,4,MAKER_PROMO_OFF
CxD,3,0.20913003310903344,1.6421854350021763,4,1,MAKER_PROMO_OFF
CxD,3,-1.695690162532997,-0.4022517903548515,4,2,MAKER_PROMO_OFF
CxD,3,2.2835518893590114,4.979206675771929,10,3,MAKER_PROMO_OFF
CxD,3,-0.5347910346901873,-0.4889640340343483,4,4,MAKER_PROMO_OFF
CxD,4,-1.8409492530331955,-1.8409492530331955,2,1,MAKER_PROMO_OFF
CxD,4,0.2866000338113143,1.7037123582373432,6,2,MAKER_PROMO_OFF
CxD,4,1.759763710399481,1.7037123582373432,4,3,MAKER_PROMO_OFF
CxD,4,-0.8194183337978531,-0.5843412951772754,4,4,MAKER_PROMO_OFF
CxE,1,-0.11176460774439542,2.937845800879088,16,1,MAKER_PROMO_OFF
CxE,1,2.8734811957013515,2.2596406897301566,6,2,MAKER_PROMO_OFF
CxE,1,0.4981010261612752,3.2321428344802414,4,3,MAKER_PROMO_OFF
CxE,1,2.253875026971019,2.253875026971019,2,4,MAKER_PROMO_OFF
CxE,1,4.98768530781057,6.9143529740151894,6,5,MAKER_PROMO_OFF
CxE,2,0.11205705855747361,0.11205705855747361,2,1,MAKER_PROMO_OFF
CxE,2,-1.0963133543232837,-0.5355387140132329,6,2,MAKER_PROMO_OFF
CxE,2,-0.6599882819252786,-0.5843412951772754,6,3,MAKER_PROMO_OFF
CxE,2,0.8240009032645831,2.806402989476177,6,4,MAKER_PROMO_OFF
CxE,2,3.1897059740943265,2.588694950888079,4,5,MAKER_PROMO_OFF
CxE,3,-1.930562986280374,-0.5843412951772754,6,1,MAKER_PROMO_OFF
CxE,3,2.6364791951707707,2.6364791951707707,2,2,MAKER_PROMO_OFF
CxE,3,1.0883417008493503,1.995884013639266,6,3,MAKER_PROMO_OFF
CxE,3,0.3244600641656299,-0.48524077420309913,6,4,MAKER_PROMO_OFF
CxE,3,6.291861587192164,6.291861587192164,2,5,MAKER_PROMO_OFF
CxE,4,-1.8409492530331955,-1.8409492530331955,2,1,MAKER_PROMO_OFF
CxE,4,0.3239676019194061,1.8158150625616187,6,2,MAKER_PROMO_OFF
CxE,4,0.941027807099137,1.4695442524510172,6,4,MAKER_PROMO_OFF
CxE,4,-1.054495372418431,-1.054495372418431,2,5,MAKER_PROMO_OFF
AxC,1,0.3738687340854364,2.2099871291243622,18,1,MAKER_PROMO_OFF
AxC,1,-0.18659185782281276,-0.48524077420309913,4,2,MAKER_PROMO_OFF
AxC,1,-1.3517299515779013,-0.48524077420309913,4,3,MAKER_PROMO_OFF
AxC,1,-1.8409492530331955,-1.8409492530331955,2,4,MAKER_PROMO_OFF
AxC,2,2.0777105255092763,7.467490145490308,4,1,MAKER_PROMO_OFF
AxC,2,2.5574447573260937,2.806402989476177,8,2,MAKER_PROMO_OFF
AxC,2,0.2892094119943212,1.995884013639266,6,3,MAKER_PROMO_OFF
AxC,2,1.741079926345435,1.7037123582373432,6,4,MAKER_PROMO_OFF
AxC,3,4.509893893223879,6.4044989604270715,8,1,MAKER_PROMO_OFF
AxC,3,-1.2949819175706916,-0.5843412951772754,10,2,MAKER_PROMO_OFF
AxC,3,-1.5774345265855105,-0.5843412951772754,4,3,MAKER_PROMO_OFF
AxC,3,-0.8194183337978531,-0.5843412951772754,4,4,MAKER_PROMO_OFF
AxC,4,0.18982224859558677,-0.9658887549975782,4,1,MAKER_PROMO_OFF
AxC,4,0.31288108198889786,0.31288108198889786,2,2,MAKER_PROMO_OFF
AxC,4,3.0914394597276535,5.178899288569967,8,3,MAKER_PROMO_OFF
AxC,4,-0.42195612840170016,0.6311721387121654,4,4,MAKER_PROMO_OFF
AxB,1,2.7337020843270334,5.682055809163861,22,1,PRIMARY_ZERO_MAKER
AxB,1,0.9237136006650216,-0.03288007639999871,6,2,PRIMARY_ZERO_MAKER
AxB,1,-1.8764952161031119,-1.0008554991668044,7,3,PRIMARY_ZERO_MAKER
AxB,2,3.2837514696369206,6.681622354151028,8,1,PRIMARY_ZERO_MAKER
AxB,2,3.8892704195738297,4.569473108980953,16,2,PRIMARY_ZERO_MAKER
AxB,2,-2.184732864234797,-0.1876016587936441,5,3,PRIMARY_ZERO_MAKER
AxB,3,7.506512599938749,5.469843469600038,6,1,PRIMARY_ZERO_MAKER
AxB,3,0.8362282381966114,-0.036339081174998386,20,2,PRIMARY_ZERO_MAKER
AxB,3,1.7630716200704757,0.7719369765568088,6,3,PRIMARY_ZERO_MAKER
AxB,4,3.0993956229488724,2.3012343212279935,12,1,PRIMARY_ZERO_MAKER
AxB,4,2.1130973439243053,4.3310610585219855,6,2,PRIMARY_ZERO_MAKER
AxB,4,-3.752629558206202,-5.537760088497052,9,3,PRIMARY_ZERO_MAKER
AxE,1,0.04101595990933242,0.3101446284202024,18,1,PRIMARY_ZERO_MAKER
AxE,1,4.372592030275122,6.484923819442999,3,2,PRIMARY_ZERO_MAKER
AxE,1,4.248032895061699,6.1867158826596,3,3,PRIMARY_ZERO_MAKER
AxE,1,2.588043524132094,1.6664139965145743,4,4,PRIMARY_ZERO_MAKER
AxE,1,2.227989256508038,-0.9465196149088344,7,5,PRIMARY_ZERO_MAKER
AxE,2,0.471977455430312,0.8249590472897692,4,1,PRIMARY_ZERO_MAKER
AxE,2,1.2893061662040577,-0.03288007639999871,5,2,PRIMARY_ZERO_MAKER
AxE,2,0.5618405527887533,0.7663315011356974,7,3,PRIMARY_ZERO_MAKER
AxE,2,3.4764811097147894,3.803408657248757,9,4,PRIMARY_ZERO_MAKER
AxE,2,8.504754909851684,8.791972884460078,4,5,PRIMARY_ZERO_MAKER
AxE,3,5.188947247842305,-0.03518607958333182,6,1,PRIMARY_ZERO_MAKER
AxE,3,2.796487322205584,2.0716741485750876,6,2,PRIMARY_ZERO_MAKER
AxE,3,0.17241563251623954,-0.4703723190041596,8,3,PRIMARY_ZERO_MAKER
AxE,3,2.0925381176088425,1.5681402050140005,8,4,PRIMARY_ZERO_MAKER
AxE,3,1.5774581656748983,0.5730371051092776,4,5,PRIMARY_ZERO_MAKER
AxE,4,4.620169807945842,4.620169807945842,2,1,PRIMARY_ZERO_MAKER
AxE,4,0.4546407334125089,0.12567402860169824,10,2,PRIMARY_ZERO_MAKER
AxE,4,3.8575601695182677,2.8748465628437234,3,3,PRIMARY_ZERO_MAKER
AxE,4,-0.1628288503877549,-1.5172852228008606,5,4,PRIMARY_ZERO_MAKER
AxE,4,-1.206802527365189,-0.22044334554056244,7,5,PRIMARY_ZERO_MAKER
BxD,1,4.87840501736372,6.622461690158952,24,1,PRIMARY_ZERO_MAKER
BxD,1,0.5622923769537091,2.3012343212279935,6,2,PRIMARY_ZERO_MAKER
