factor,level,mean_total_pnl,median_total_pnl,profile_count,scenario
A,1,-1.7267741685461446,-0.12683582661853604,35,EXECUTION_STRESS
A,2,-0.21363626946936834,-0.26339736983781986,29,EXECUTION_STRESS
A,3,-0.5280893117354009,0.09699079018751483,32,EXECUTION_STRESS
A,4,-2.3411379372397088,-2.517865346541747,27,EXECUTION_STRESS
B,1,-0.3665389254612883,2.1556054233720925,48,EXECUTION_STRESS
B,2,-0.776647846081045,0.09428941350001302,48,EXECUTION_STRESS
B,3,-3.402561665211101,-1.279695823798098,27,EXECUTION_STRESS
C,1,-0.7508691848233904,2.326389925583487,37,EXECUTION_STRESS
C,2,-1.0167441313855632,-0.37399890501954597,31,EXECUTION_STRESS
C,3,-0.894380195216402,-0.37399890501954597,27,EXECUTION_STRESS
C,4,-2.260451314731106,-0.8377323404270902,28,EXECUTION_STRESS
D,1,-0.48856060177987626,2.845898116239722,41,EXECUTION_STRESS
D,2,-3.309427992555386,-1.1881135230313427,19,EXECUTION_STRESS
D,3,-1.2747599542338601,-0.8377323404270902,33,EXECUTION_STRESS
D,4,-0.7254978324495693,-0.3186981374286829,30,EXECUTION_STRESS
E,1,-2.7793161941609563,-0.015822977111344533,30,EXECUTION_STRESS
E,2,-0.5372490239576505,-0.08455397816890342,24,EXECUTION_STRESS
E,3,-0.9895176502403664,-0.37399890501954597,21,EXECUTION_STRESS
E,4,-0.5500143176418113,-0.550564855132455,26,EXECUTION_STRESS
E,5,-0.699473849144756,-0.37399890501954597,22,EXECUTION_STRESS
A,1,-0.11091244750469256,0.03268726573752487,28,MAKER_PROMO_OFF
A,2,1.706339007945183,1.9378804640236695,24,MAKER_PROMO_OFF
A,3,0.5208430972519486,0.023317965737525096,26,MAKER_PROMO_OFF
A,4,1.3571523512541428,1.1045125385416767,18,MAKER_PROMO_OFF
B,1,1.3465773277554594,2.441836730485352,48,MAKER_PROMO_OFF
B,2,0.23294872457117047,0.03076448540002341,48,MAKER_PROMO_OFF
C,1,1.5258505722278923,4.9759387911201145,34,MAKER_PROMO_OFF
C,2,0.30788056731618246,0.027041225568774252,24,MAKER_PROMO_OFF
C,3,0.670459738051523,0.027041225568774252,22,MAKER_PROMO_OFF
C,4,0.1124427002005004,1.4695442524510172,16,MAKER_PROMO_OFF
D,1,1.4897289029138503,5.110651781215855,36,MAKER_PROMO_OFF
D,2,-1.0945724558707757,1.7037123582373432,14,MAKER_PROMO_OFF
D,3,1.9733719752024375,4.532696210384149,26,MAKER_PROMO_OFF
D,4,-0.6898323483146444,-0.4889640340343483,20,MAKER_PROMO_OFF
E,1,-0.6472844627132314,0.028964005906275708,26,MAKER_PROMO_OFF
E,2,0.8939885525063191,0.2215476994891298,20,MAKER_PROMO_OFF
E,3,0.2851577886368457,0.019910758191967207,16,MAKER_PROMO_OFF
E,4,0.8522341350559068,1.0038360426738975,20,MAKER_PROMO_OFF
E,5,3.7971191551991565,5.2064070318260205,14,MAKER_PROMO_OFF
A,1,1.5013788841846596,0.27998270824328053,35,PRIMARY_ZERO_MAKER
A,2,2.67498876376216,2.3476511459408584,29,PRIMARY_ZERO_MAKER
A,3,2.260689690124612,-0.03518607958333182,32,PRIMARY_ZERO_MAKER
A,4,0.5962098338917216,-0.03699008594999853,27,PRIMARY_ZERO_MAKER
B,1,3.5134016809856057,4.678541556996648,48,PRIMARY_ZERO_MAKER
B,2,2.0244532738468637,1.739671998901878,48,PRIMARY_ZERO_MAKER
B,3,-1.75016174582699,-0.9711041986268076,27,PRIMARY_ZERO_MAKER
C,1,3.273661321877334,6.484923819442999,37,PRIMARY_ZERO_MAKER
C,2,1.4179295044777234,-0.03288007639999871,31,PRIMARY_ZERO_MAKER
C,3,1.9041004074624188,2.150391951932171,27,PRIMARY_ZERO_MAKER
C,4,0.07395271945977569,-0.11229587237182131,28,PRIMARY_ZERO_MAKER
D,1,3.849313309932786,5.198980005604222,41,PRIMARY_ZERO_MAKER
D,2,0.44556679055922216,1.739671998901878,19,PRIMARY_ZERO_MAKER
D,3,1.9854173271970066,2.8748465628437234,33,PRIMARY_ZERO_MAKER
D,4,-0.44145719435802827,-0.20402250216710327,30,PRIMARY_ZERO_MAKER
E,1,1.4333406734344913,0.3101446284202024,30,PRIMARY_ZERO_MAKER
E,2,1.7037349245501767,0.12772903337669816,24,PRIMARY_ZERO_MAKER
E,3,1.4109041963519566,0.7663315011356974,21,PRIMARY_ZERO_MAKER
E,4,2.2141024912651326,1.9450319754170244,26,PRIMARY_ZERO_MAKER
E,5,2.158052700277558,-0.03493508117499862,22,PRIMARY_ZERO_MAKER
