combination_id,direction,region_id,selection_reason
21111,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21112,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21121,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21122,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21211,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21212,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21221,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
21222,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22111,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22112,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22121,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22122,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22211,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22212,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22221,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
22222,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31111,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31112,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31121,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31122,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31211,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31212,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31221,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
31222,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32111,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32112,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32121,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32122,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32211,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32212,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32221,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
32222,NEUTRAL,REGION_1,LOCAL_COMPLETE_FACTORIAL
