combination_id,false_break_ratio,median_reentry_time,post_stop_MAE,post_stop_MFE,stop_count,stop_level,true_break_ratio
11111,0.0,240.0,-0.01684875312969689,0.03156378405204204,282,1,0.6382978723404256
11112,0.0,5.0,-0.022250689959488902,0.035198398021960745,288,2,0.0625
11113,0.0,5.0,-0.022458533532584077,0.03498699020934623,288,3,0.0625
11114,0.0,11.5,-0.022085152321835135,0.03539828308310699,288,4,0.125
11115,0.0,209.5,-0.02077217086074391,0.034896494267527965,288,5,0.5625
11121,0.0,240.0,-0.01684875312969689,0.03156378405204204,282,1,0.6382978723404256
11131,0.0,240.0,-0.01684875312969689,0.03156378405204204,282,1,0.6382978723404256
11141,0.0,1.0,-0.02038914835983029,0.04162384016884939,288,1,0.0
11211,0.0,252.0,-0.012848142673609125,0.04212691634165903,176,1,0.7159090909090909
11311,0.0,252.0,-0.01686576328410951,0.033585457765336876,243,1,0.7078189300411523
11411,0.0,262.0,-0.01215826866657869,0.04192406943288639,134,1,0.835820895522388
12111,0.0,257.0,-0.019386587786435327,0.026305892436325022,204,1,0.7352941176470589
12245,0.0,1.0,-0.019511054420366925,0.0370050460115811,234,5,0.0
12344,0.0,1.0,-0.019511054420366925,0.0370050460115811,234,4,0.0
13111,0.0,252.0,-0.009412709553031834,0.05365157175670221,48,1,0.75
13141,0.0,1.0,-0.03041488876501276,0.03787030853831087,48,1,0.0
13235,0.0,309.0,-0.014286866765242934,0.048643778899695234,48,5,0.75
13415,0.0,309.0,-0.013475463507686795,0.04791443388749655,43,5,0.8372093023255814
13422,0.0,1.5,-0.0216025642285107,0.04734922122913987,48,2,0.0
13433,0.0,1.5,-0.0216025642285107,0.04734922122913987,48,3,0.0
13435,0.0,309.0,-0.013475463507686795,0.04791443388749655,43,5,0.8372093023255814
21111,0.0,118.0,-0.01380167028829745,0.034863956129861394,234,1,0.38461538461538464
21135,0.0,118.0,-0.01793416083798816,0.03417364530435951,246,5,0.1951219512195122
21233,0.07894736842105263,2.0,-0.016614699469261366,0.041433502897671615,228,3,0.0
21321,0.0,118.0,-0.012680284377017336,0.035505505299480516,227,1,0.3964757709251101
22214,0.1005586592178771,10.0,-0.01645752174275397,0.03710253246355808,179,4,0.0
22215,0.0,106.0,-0.015504504636607354,0.04685193325251318,127,5,0.0
22242,0.08333333333333333,1.0,-0.01957043126757343,0.041372066196880476,216,2,0.0
22333,0.08333333333333333,1.0,-0.01846354658403712,0.03333278300065612,216,3,0.0
22334,0.08333333333333333,6.0,-0.01886286738019413,0.032922373499217686,216,4,0.0
22424,0.12857142857142856,2.0,-0.016649576996439854,0.03897269502926738,140,4,0.0
22432,0.12244897959183673,1.0,-0.017785555950804874,0.03826263426581461,147,2,0.0
22434,0.12857142857142856,2.0,-0.016649576996439854,0.03897269502926738,140,4,0.0
23233,0.16666666666666666,1.5,-0.016639994294567917,0.03709874316434214,72,3,0.16666666666666666
23244,0.16666666666666666,1.0,-0.022210555973972822,0.03894228301065859,72,4,0.0
23342,0.16666666666666666,1.0,-0.022210555973972822,0.03894228301065859,72,2,0.0
23423,0.18181818181818182,2.0,-0.015447215131604125,0.03984731132989512,66,3,0.18181818181818182
23443,0.16666666666666666,1.0,-0.022210555973972822,0.03894228301065859,72,3,0.0
31111,0.0,75.0,-0.01523129286801707,0.03887083646210839,126,1,0.42857142857142855
31132,0.14285714285714285,1.0,-0.018847616979255428,0.034898266939983234,252,2,0.0
31445,0.26765799256505574,1.0,-0.02027867886808976,0.042243750915044606,269,5,0.0
32115,0.0,25.0,-0.015638027820921278,0.04189005283305578,162,5,0.2222222222222222
32123,0.1282051282051282,1.0,-0.017435793869576492,0.032065379108025975,234,3,0.0
32212,0.1595744680851064,1.0,-0.014410580571668252,0.03806839606229635,188,2,0.0
32214,0.07058823529411765,1.0,-0.012418009347496074,0.042349724994969425,170,4,0.0
32233,0.1595744680851064,1.0,-0.01448623713201136,0.03799166010858813,188,3,0.0
32242,0.07692307692307693,1.0,-0.017091374478134715,0.04348150826610086,234,2,0.0
32243,0.07692307692307693,1.0,-0.017091374478134715,0.04348150826610086,234,3,0.0
32333,0.12931034482758622,1.0,-0.017478212348390178,0.03229480127371565,232,3,0.0
32341,0.07692307692307693,1.0,-0.017091374478134715,0.04348150826610086,234,1,0.0
32444,0.07692307692307693,1.0,-0.017091374478134715,0.04348150826610086,234,4,0.0
33224,0.0,22.0,-0.023411341567716407,0.03201911347599324,97,4,0.0
33314,0.0,22.0,-0.023443431372240617,0.030053416274185778,104,4,0.0
33441,0.18181818181818182,1.0,-0.02302467956556881,0.036108726055067326,132,1,0.0
41111,0.0,185.0,-0.017570957844378194,0.04015402416400597,216,1,0.5
41142,0.13333333333333333,1.0,-0.02351160967892283,0.040676197214908685,270,2,0.0
41234,0.08294930875576037,3.0,-0.017596627991368245,0.04727325660279833,217,4,0.0
41312,0.06666666666666667,1.0,-0.01887780433218501,0.04129942934570151,270,2,0.0
41333,0.06666666666666667,2.0,-0.01876238164776192,0.04142881186946041,270,3,0.0
41422,0.043478260869565216,1.0,-0.02102860952580697,0.04179959698783776,207,2,0.0
42324,0.0,8.0,-0.01772723619000606,0.037182130696534914,240,4,0.0
42335,0.0,78.0,-0.017741216115868937,0.03269377456387647,217,5,0.30414746543778803
42422,0.031088082901554404,1.0,-0.01848452091789288,0.036526943107314434,193,2,0.0
43132,0.14285714285714285,1.0,-0.015853700332739886,0.041184804541103945,84,2,0.0
43235,0.0,95.0,-0.015978475205142235,0.03566177923608725,84,5,0.14285714285714285
43243,0.2857142857142857,1.0,-0.019727072419223567,0.043355862132395076,84,3,0.0
43342,0.2857142857142857,1.0,-0.019727072419223567,0.043355862132395076,84,2,0.0
43345,0.2857142857142857,1.0,-0.019727072419223567,0.043355862132395076,84,5,0.0
43414,0.0,6.0,-0.013516517262215004,0.0457549196063571,76,4,0.0
43425,0.0,111.0,-0.014595134351670829,0.03830689639683306,75,5,0.16
43435,0.0,111.0,-0.014595134351670829,0.03830689639683306,75,5,0.16
43445,0.2857142857142857,1.0,-0.019727072419223567,0.043355862132395076,84,5,0.0
