direction,inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,run_count,scenario,symbol
NEUTRAL,3923.7787580113345,11.657406931236288,-1360.1130692337981,2945.8576774486683,1104,EXECUTION_STRESS,MUUSDT
NEUTRAL,3930.576020732451,12.045265958335046,-846.5024742318412,3432.265168263829,1104,MAKER_PROMO_OFF,MUUSDT
NEUTRAL,3923.2050797141083,9.417375560286452,-779.4216493517188,3129.321710249211,1104,PRIMARY_ZERO_MAKER,MUUSDT
NEUTRAL,642.2309876939403,8.690606050006455,311.0922026393059,1075.0746641791745,240,EXECUTION_STRESS,SKHYNIXUSDT
NEUTRAL,608.9200180445232,8.447880747369954,557.621509817139,1295.1084337996938,240,MAKER_PROMO_OFF,SKHYNIXUSDT
NEUTRAL,587.4589153449092,8.313230253117624,675.021850141149,1282.5111281033364,240,PRIMARY_ZERO_MAKER,SKHYNIXUSDT
NEUTRAL,2047.1495344557013,9.1635536631926,-449.70323693857324,1954.0202559194172,720,EXECUTION_STRESS,SNDKUSDT
NEUTRAL,2049.800310407769,8.432479129550432,-179.9108138105242,2299.7972972040598,720,MAKER_PROMO_OFF,SNDKUSDT
NEUTRAL,1998.2792198845762,7.950040119921779,68.0370946707541,2213.172626486838,720,PRIMARY_ZERO_MAKER,SNDKUSDT
NEUTRAL,1115.522528500251,6.228473104588936,301.54138035666745,1587.24704053964,384,EXECUTION_STRESS,SOXLUSDT
NEUTRAL,1183.5567164705292,6.377033913058835,398.1445881050158,1809.7316628497438,384,MAKER_PROMO_OFF,SOXLUSDT
NEUTRAL,1143.130340407655,6.20657217445382,522.1470294073442,1734.4340551612831,384,PRIMARY_ZERO_MAKER,SOXLUSDT
