detector,false_count,posthoc_label,scenario,seed,signal_count,symbol,true_count,window_key
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,3,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,10,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,17,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,31,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,59,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,PRIMARY_ZERO_MAKER,97,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,3,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,10,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,17,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,31,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,59,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,EXECUTION_STRESS,97,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,3,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,10,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,17,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,31,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,59,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,0,UNRESOLVED,MAKER_PROMO_OFF,97,0,SNDKUSDT,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
D2,1,FALSE_BREAKOUT,PRIMARY_ZERO_MAKER,3,1,SNDKUSDT,0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
