false_breakout_rate,net_pnl,profile_id,seed
0.0,-60.62750836969821,CONTROL,3
0.0,-41.87534200778746,CONTROL,10
0.0,-43.82128247584641,CONTROL,17
0.0,-48.92744381191313,CONTROL,31
0.0,-56.43350569125576,CONTROL,59
0.0,-47.471035635744904,CONTROL,97
0.8333333333333334,40.655107466938,D2-R3,3
0.8333333333333334,53.10367191280396,D2-R3,10
0.8333333333333334,56.062257633975904,D2-R3,17
0.8333333333333334,48.84085673224585,D2-R3,31
0.8333333333333334,46.07974040297777,D2-R3,59
0.8333333333333334,49.671796181685096,D2-R3,97
0.6666666666666666,-39.415672157336964,D2-C1-R3-10m,3
0.6666666666666666,-20.612221800851646,D2-C1-R3-10m,10
0.6666666666666666,-22.25827819834787,D2-C1-R3-10m,17
0.6666666666666666,-27.604501284405885,D2-C1-R3-10m,31
0.6666666666666666,-34.904388808709506,D2-C1-R3-10m,59
0.6666666666666666,-25.97536096272587,D2-C1-R3-10m,97
0.0,-42.60716927439135,D2-C1-R3-20m,3
0.0,-23.521897778865476,D2-C1-R3-20m,10
0.0,-25.35231214075194,D2-C1-R3-20m,17
0.0,-30.796380404719137,D2-C1-R3-20m,31
0.0,-38.015259369569506,D2-C1-R3-20m,59
0.0,-29.117713977872096,D2-C1-R3-20m,97
0.0,-54.51933683671308,D2-C1-R3-30m,3
0.0,-35.433851529364354,D2-C1-R3-30m,10
0.0,-37.26447970307366,D2-C1-R3-30m,17
0.0,-42.708165963782,D2-C1-R3-30m,31
0.0,-49.9269223575832,D2-C1-R3-30m,59
0.0,-41.0295451573218,D2-C1-R3-30m,97
0.5,-44.27872520130904,D2-C2-R3-10m,3
0.5,-25.468364441491584,D2-C2-R3-10m,10
0.5,-27.098088794839907,D2-C2-R3-10m,17
0.5,-32.46755432837796,D2-C2-R3-10m,31
0.5,-39.76053144934944,D2-C2-R3-10m,59
0.5,-30.838414006697946,D2-C2-R3-10m,97
0.0,-60.62750836969821,D2-C2-R3-20m,3
0.0,-41.87534200778746,D2-C2-R3-20m,10
0.0,-43.82128247584641,D2-C2-R3-20m,17
0.0,-48.92744381191313,D2-C2-R3-20m,31
0.0,-56.43350569125576,D2-C2-R3-20m,59
0.0,-47.471035635744904,D2-C2-R3-20m,97
0.0,-60.62750836969821,D2-C2-R3-30m,3
0.0,-41.87534200778746,D2-C2-R3-30m,10
0.0,-43.82128247584641,D2-C2-R3-30m,17
0.0,-48.92744381191313,D2-C2-R3-30m,31
0.0,-56.43350569125576,D2-C2-R3-30m,59
0.0,-47.471035635744904,D2-C2-R3-30m,97
0.5,-44.27872520130904,D2-C3-R3-10m,3
0.5,-25.468364441491584,D2-C3-R3-10m,10
0.5,-27.098088794839907,D2-C3-R3-10m,17
0.5,-32.46755432837796,D2-C3-R3-10m,31
0.5,-39.76053144934944,D2-C3-R3-10m,59
0.5,-30.838414006697946,D2-C3-R3-10m,97
0.0,-60.62750836969821,D2-C3-R3-20m,3
0.0,-41.87534200778746,D2-C3-R3-20m,10
0.0,-43.82128247584641,D2-C3-R3-20m,17
0.0,-48.92744381191313,D2-C3-R3-20m,31
0.0,-56.43350569125576,D2-C3-R3-20m,59
0.0,-47.471035635744904,D2-C3-R3-20m,97
0.0,-60.62750836969821,D2-C3-R3-30m,3
0.0,-41.87534200778746,D2-C3-R3-30m,10
0.0,-43.82128247584641,D2-C3-R3-30m,17
0.0,-48.92744381191313,D2-C3-R3-30m,31
0.0,-56.43350569125576,D2-C3-R3-30m,59
0.0,-47.471035635744904,D2-C3-R3-30m,97
