D2_confirmation_time,D2_first_warning_time,breakout_direction,calendar,canonical_path,event_anchor_time,event_end_time,event_id,first_D2_precursor,first_inventory_stress,first_one_sided_fill_cluster,first_range_break,force_close_time,future_MAE,future_MFE,future_tail_loss,label_usage,symbol,tail_event_time,time_to_force_close,truth_label,validation_split,window_key
2026-05-11T00:20:59.999000+00:00,2026-05-11T00:01:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,2026-05-10T06:49:59.999000+00:00,2026-05-11T01:03:59.999000+00:00,D2-2a53b8b913c713d1,2026-05-11T00:01:59.999000+00:00,2026-05-10T06:49:59.999000+00:00,2026-05-11T00:01:59.999000+00:00,2026-05-11T00:01:59.999000+00:00,2026-05-11T06:00:00+00:00,1.2200000000000273,38.00999999999999,0.37820000000000853,LABEL_ONLY,MUUSDT,2026-05-11T00:21:59.999000+00:00,339.0000166666667,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
2026-05-30T07:40:59.999000+00:00,2026-05-30T06:26:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,2026-05-29T23:31:59.999000+00:00,2026-05-30T11:23:59.999000+00:00,D2-7914871e1abb9850,2026-05-30T06:26:59.999000+00:00,2026-05-29T23:31:59.999000+00:00,,2026-05-30T06:26:59.999000+00:00,2026-06-01T06:00:00+00:00,40.06000000000006,6.329999999999927,10.415600000000016,LABEL_ONLY,MUUSDT,2026-06-01T02:27:59.999000+00:00,2779.0000166666664,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
2026-06-06T03:23:59.999000+00:00,2026-06-06T01:48:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,2026-06-05T23:36:59.999000+00:00,2026-06-06T03:37:59.999000+00:00,D2-e91166da0fe9e2c3,2026-06-06T01:48:59.999000+00:00,2026-06-05T23:36:59.999000+00:00,2026-06-06T00:04:59.999000+00:00,2026-06-06T01:48:59.999000+00:00,2026-06-08T06:00:00+00:00,0.42999999999995,90.58000000000004,8.777348157022347,LABEL_ONLY,MUUSDT,2026-06-08T00:38:59.999000+00:00,3036.0000166666664,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2026-06-19T04:03:59.999000+00:00,2026-06-19T03:33:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,2026-06-19T02:08:59.999000+00:00,2026-06-19T04:29:59.999000+00:00,D2-aabb8c8c40d9a340,2026-06-19T03:33:59.999000+00:00,2026-06-19T02:08:59.999000+00:00,2026-06-19T01:53:59.999000+00:00,2026-06-19T03:33:59.999000+00:00,2026-06-22T06:00:00+00:00,8.670000000000073,61.44999999999982,1.473900000000019,LABEL_ONLY,MUUSDT,2026-06-19T10:42:59.999000+00:00,4436.000016666667,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
2026-07-13T01:58:59.999000+00:00,2026-07-13T01:26:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,2026-07-11T09:24:59.999000+00:00,2026-07-13T05:58:59.999000+00:00,D2-928e959c7af15629,2026-07-13T01:26:59.999000+00:00,2026-07-11T09:24:59.999000+00:00,2026-07-12T23:16:59.999000+00:00,2026-07-13T01:26:59.999000+00:00,2026-07-13T06:00:00+00:00,22.190000000000055,4.059999999999945,4.438000000000022,LABEL_ONLY,MUUSDT,2026-07-13T05:31:59.999000+00:00,241.00001666666668,TRUE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
2026-07-05T11:12:59.999000+00:00,2026-07-03T23:03:59.999000+00:00,UP,KR_STOCK,31111-NEUTRAL CONTROL,2026-07-03T11:24:59.999000+00:00,2026-07-05T14:22:59.999000+00:00,D2-313a655ca9d40d2b,2026-07-03T23:03:59.999000+00:00,2026-07-03T11:24:59.999000+00:00,2026-07-03T19:15:59.999000+00:00,2026-07-03T23:03:59.999000+00:00,2026-07-05T22:00:00+00:00,4.869999999999891,28.62000000000012,0.43829999999999014,LABEL_ONLY,SKHYNIXUSDT,2026-07-05T12:57:59.999000+00:00,647.0000166666666,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
2026-08-17T03:16:59.999000+00:00,2026-08-17T02:21:00+00:00,UP,NYSE,31111-NEUTRAL CONTROL,2026-08-17T00:01:00+00:00,2026-08-17T05:59:59.999000+00:00,D2-0394ea9b3d716901,2026-08-17T02:21:00+00:00,2026-08-17T00:01:00+00:00,2026-08-15T02:14:00+00:00,2026-08-17T02:21:00+00:00,2026-08-17T06:00:00+00:00,20.720000000000027,8.009999999999991,1.8648000000000025,LABEL_ONLY,SNDKUSDT,2026-08-17T05:55:59.999000+00:00,163.00001666666668,TRUE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
2026-05-31T22:59:59.999000+00:00,2026-05-31T19:53:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,2026-05-31T15:57:59.999000+00:00,2026-05-31T23:02:59.999000+00:00,D2-bc8ed57a704b6a79,2026-05-31T19:53:59.999000+00:00,2026-05-31T15:57:59.999000+00:00,2026-05-31T04:27:59.999000+00:00,2026-05-31T19:44:59.999000+00:00,2026-06-01T06:00:00+00:00,18.439999999999827,35.41000000000008,2.028388040228986,LABEL_ONLY,SNDKUSDT,2026-06-01T02:18:59.999000+00:00,420.0000166666667,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
2026-06-05T23:48:59.999000+00:00,2026-06-05T23:25:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,2026-06-05T23:00:59.999000+00:00,2026-06-06T00:02:59.999000+00:00,D2-cb237b14dd2e1af4,2026-06-05T23:25:59.999000+00:00,2026-06-05T23:00:59.999000+00:00,,2026-06-05T23:25:59.999000+00:00,2026-06-08T06:00:00+00:00,24.590000000000146,102.37999999999988,3.688500000000022,LABEL_ONLY,SNDKUSDT,2026-06-06T03:09:59.999000+00:00,3251.0000166666664,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2026-06-22T01:41:59.999000+00:00,2026-06-22T00:49:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,2026-06-19T01:09:59.999000+00:00,2026-06-22T02:01:59.999000+00:00,D2-26e2b0070e7b30d2,2026-06-22T00:49:59.999000+00:00,2026-06-19T01:09:59.999000+00:00,2026-06-19T03:58:59.999000+00:00,2026-06-22T00:49:59.999000+00:00,2026-06-22T06:00:00+00:00,0.0,40.5,0.0,LABEL_ONLY,SNDKUSDT,2026-06-22T01:41:59.999000+00:00,258.0000166666667,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
