classification_tags,event_id,recovery_minutes_after_D2,recovery_time,self_healing_mechanism,symbol,window_key
OTHER,D2-2a53b8b913c713d1,43.0,2026-05-11T01:03:59.999000+00:00,OTHER,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION,D2-7914871e1abb9850,223.0,2026-05-30T11:23:59.999000+00:00,LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION|SMALL_GROSS_EXPOSURE,D2-e91166da0fe9e2c3,14.0,2026-06-06T03:37:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION|SMALL_GROSS_EXPOSURE,MUUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|SMALL_GROSS_EXPOSURE,D2-aabb8c8c40d9a340,26.0,2026-06-19T04:29:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|SMALL_GROSS_EXPOSURE,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
SMALL_GROSS_EXPOSURE,D2-313a655ca9d40d2b,190.0,2026-07-05T14:22:59.999000+00:00,SMALL_GROSS_EXPOSURE,SKHYNIXUSDT,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|VOLATILITY_MEAN_REVERSION|SMALL_GROSS_EXPOSURE,D2-bc8ed57a704b6a79,3.0,2026-05-31T23:02:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|VOLATILITY_MEAN_REVERSION|SMALL_GROSS_EXPOSURE,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|LOW_INVENTORY_AGE,D2-cb237b14dd2e1af4,14.0,2026-06-06T00:02:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|LOW_INVENTORY_AGE,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|VOLATILITY_MEAN_REVERSION,D2-26e2b0070e7b30d2,20.0,2026-06-22T02:01:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE|VOLATILITY_MEAN_REVERSION,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION,D2-65dad30b2f4a428a,80.0,2026-06-19T06:15:59.999000+00:00,LOW_DIRECTIONAL_PERSISTENCE|EARLY_SESSION_RECOVERY|VOLATILITY_MEAN_REVERSION,SOXLUSDT,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE,D2-0acac97ea7d9f11f,20.0,2026-06-28T21:04:59.999000+00:00,FAST_REVERSAL|LOW_DIRECTIONAL_PERSISTENCE,SOXLUSDT,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
