D2_confirmation_time,breakout_direction,calendar,canonical_path,event_id,run_level_duplicate_count,scenario_count,seed_count,statistical_unit,symbol,truth_label,validation_split,window_key
2026-05-11T00:20:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,D2-2a53b8b913c713d1,18,3,6,UNIQUE_MARKET_EVENT,MUUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
2026-05-30T07:40:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,D2-7914871e1abb9850,18,3,6,UNIQUE_MARKET_EVENT,MUUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
2026-06-06T03:23:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,D2-e91166da0fe9e2c3,18,3,6,UNIQUE_MARKET_EVENT,MUUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2026-06-19T04:03:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,D2-aabb8c8c40d9a340,18,3,6,UNIQUE_MARKET_EVENT,MUUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
2026-07-13T01:58:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,D2-928e959c7af15629,18,3,6,UNIQUE_MARKET_EVENT,MUUSDT,TRUE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
2026-07-05T11:12:59.999000+00:00,UP,KR_STOCK,31111-NEUTRAL CONTROL,D2-313a655ca9d40d2b,18,3,6,UNIQUE_MARKET_EVENT,SKHYNIXUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
2026-08-17T03:16:59.999000+00:00,UP,NYSE,31111-NEUTRAL CONTROL,D2-0394ea9b3d716901,18,3,6,UNIQUE_MARKET_EVENT,SNDKUSDT,TRUE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
2026-05-31T22:59:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,D2-bc8ed57a704b6a79,18,3,6,UNIQUE_MARKET_EVENT,SNDKUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
2026-06-05T23:48:59.999000+00:00,DOWN,US_STOCK,31111-NEUTRAL CONTROL,D2-cb237b14dd2e1af4,18,3,6,UNIQUE_MARKET_EVENT,SNDKUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2026-06-22T01:41:59.999000+00:00,UP,US_STOCK,31111-NEUTRAL CONTROL,D2-26e2b0070e7b30d2,18,3,6,UNIQUE_MARKET_EVENT,SNDKUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
2026-06-19T04:55:59.999000+00:00,DOWN,US_LEVERAGED_ETF,31111-NEUTRAL CONTROL,D2-65dad30b2f4a428a,18,3,6,UNIQUE_MARKET_EVENT,SOXLUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
2026-06-28T20:44:59.999000+00:00,UP,US_LEVERAGED_ETF,31111-NEUTRAL CONTROL,D2-0acac97ea7d9f11f,18,3,6,UNIQUE_MARKET_EVENT,SOXLUSDT,FALSE_BREAKOUT,RESEARCH_VALIDATION_EXPOSED,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
