blocked_adverse_add_opportunity_cost,early_flatten_fee,early_flatten_slippage,false_breakout_defense_cost,missed_paired_grid_pnl,profile_id,scenario,seed,suspected_episode_id,symbol,window_key
,,,0.0,,D2-R3,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.019092260000000003,0.1100383900000006,0.0,S2,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.04773065,0.2750959750000028,0.0,S3,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.019092260000000003,0.1100383900000006,0.0,S2,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.04773065,0.2750959750000028,0.0,S3,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.019092260000000003,0.1100383900000006,0.0,S2,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.04773065,0.2750959750000028,0.0,S3,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
