breakout_direction,cluster_definition,posthoc_label,run_level_duplicate_count,scenario_count,seed_count,signal_time,suspected_episode_id,symbol,unique_market_event,validation_split,window_key
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,True,EXPOSED_LATE,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
DOWN,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,True,EXPOSED_LATE,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,True,EXPOSED_LATE,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,True,EXPOSED_EARLY,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,True,EXPOSED_LATE,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
DOWN,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-06T03:23:59.999000+00:00,D2-e91166da0fe9e2c3,MUUSDT,True,EXPOSED_LATE,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
DOWN,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-19T04:03:59.999000+00:00,D2-aabb8c8c40d9a340,MUUSDT,True,EXPOSED_LATE,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
DOWN,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-19T04:55:59.999000+00:00,D2-65dad30b2f4a428a,SOXLUSDT,True,EXPOSED_LATE,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-06-28T20:44:59.999000+00:00,D2-0acac97ea7d9f11f,SOXLUSDT,True,EXPOSED_LATE,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,FALSE_BREAKOUT,18,3,6,2026-07-05T11:12:59.999000+00:00,D2-313a655ca9d40d2b,SKHYNIXUSDT,True,EXPOSED_LATE,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
