automatic_releverage,did_strategy_resume_normally,paired_pnl_after_recovery,profile_id,scenario,seed,suspected_episode_id,symbol,time_to_grid_recovery_minutes,window_key
False,True,0.0,S0,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,PRIMARY_ZERO_MAKER,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S3,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S0,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S1,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
False,True,0.0,S2,MAKER_PROMO_OFF,59,D2-bc8ed57a704b6a79,SNDKUSDT,20,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
