adverse_inventory_qty,classification,gross_inventory_qty,inventory_drag,inventory_loss_before_confirmation,max_drawdown,net_inventory_qty,profile_id,scenario,seed,suspected_episode_id,symbol,tail_saved_before_confirmation,window_key
0.11,FALSE_BREAKOUT,0.11,0.9289996274435135,0.0,3.177953737477901,-0.11,D2-R3,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S0,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S1,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.408444613967412,-0.11,S2,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.451402198967412,-0.11,S3,PRIMARY_ZERO_MAKER,3,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,0.9289996274435135,0.0,3.177953737477901,-0.11,D2-R3,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S0,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S1,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.408444613967412,-0.11,S2,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.451402198967412,-0.11,S3,PRIMARY_ZERO_MAKER,10,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,0.9289996274435135,0.0,3.177953737477901,-0.11,D2-R3,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S0,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S1,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.408444613967412,-0.11,S2,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.451402198967412,-0.11,S3,PRIMARY_ZERO_MAKER,17,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,0.9289996274435135,0.0,3.177953737477901,-0.11,D2-R3,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S0,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.379806223967412,-0.11,S1,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,FALSE_BREAKOUT,0.11,3.6190885004225355,0.0,4.408444613967412,-0.11,S2,PRIMARY_ZERO_MAKER,31,D2-bc8ed57a704b6a79,SNDKUSDT,0.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
