adverse_inventory_qty,breakout_direction,c1_confirmation_state,c1_confirmation_time,classification,gross_inventory_qty,long_inventory_qty,net_inventory_qty,scenario,seed,short_inventory_qty,signal_time,suspected_episode_id,symbol,window_key
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,3,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,10,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,17,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,31,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,59,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,PRIMARY_ZERO_MAKER,97,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,3,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,10,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,17,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,31,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,59,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,EXECUTION_STRESS,97,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,3,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,10,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,17,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,31,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,59,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.11,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.11,0.0,-0.11,MAKER_PROMO_OFF,97,0.11,2026-05-31T22:59:59.999000+00:00,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,3,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,10,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,17,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,31,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,59,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,PRIMARY_ZERO_MAKER,97,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,EXECUTION_STRESS,3,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,EXECUTION_STRESS,10,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
0.15000000000000002,DOWN,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.15000000000000002,0.15000000000000002,0.15000000000000002,EXECUTION_STRESS,17,0.0,2026-06-05T23:48:59.999000+00:00,D2-cb237b14dd2e1af4,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
