scope,month,group,seed,calendar_key,window_type,listing_stage,block_count,symbol_count,window_realized_volatility,hourly_realized_volatility,directional_efficiency,completed_grid_cycles_per_hour,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,base_volume_per_hour,quote_volume_per_hour,median_trade_size,aggtrade_event_count_per_hour
ALL_CORE,ALL_DEVELOPMENT,W,,,,,13,8,0.023726710175519694,0.003199308947408117,0.018151880955739268,1.2818181818181817,0.0014100000000000002,0.09196969696969698,1142.3818181818183,1443.4237272727273,203789.15608909092,59.9264,622.6759259259259
ALL_CORE,ALL_DEVELOPMENT,O,,,,,50,8,0.010289423180406841,0.0038890364099513986,0.046380121593108295,2.7857142857142856,0.0030642857142857147,0.010714285714285714,1788.2857142857144,3097.6071428571427,367185.49529642856,66.12519999999999,904.7857142857143
ALL_CORE,ALL_DEVELOPMENT,R,3,,,,0,8,,,,,,,,,,,
ALL_CORE,ALL_DEVELOPMENT,R,10,,,,0,8,,,,,,,,,,,
ALL_CORE,ALL_DEVELOPMENT,R,17,,,,0,8,,,,,,,,,,,
ALL_CORE,ALL_DEVELOPMENT,R,31,,,,0,8,,,,,,,,,,,
ALL_CORE,ALL_DEVELOPMENT,R,59,,,,0,8,,,,,,,,,,,
ALL_CORE,ALL_DEVELOPMENT,R,97,,,,0,8,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,W,,,,,13,4,0.017756147473909648,0.002394238436957385,0.016938957375003342,0.9454545454545455,0.0010400000000000001,0.12651515151515152,772.9,730.7897272727273,139380.77760909093,54.301249999999996,428.77272727272725
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,O,,,,,50,4,0.007922848149037256,0.0029945551253829986,0.04551994741842999,1.8571428571428572,0.002042857142857143,0.036904761904761905,1273.3571428571427,1787.4017857142858,284320.67670714285,69.80619999999999,607.5714285714287
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,3,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,10,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,17,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,31,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,59,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,ALL_DEVELOPMENT,R,97,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,W,,,,,13,4,0.02693650086896575,0.003632117036219542,0.028508354066334153,1.9090909090909092,0.0021000000000000003,0.075,1594.290909090909,2248.6277272727275,287398.8638083333,74.36115,850.7181818181818
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,O,,,,,50,4,0.012764967252411684,0.004824704120537825,0.04500020486740689,3.678571428571429,0.004046428571428572,0.004761904761904762,2184.392857142857,3982.1850000000004,484451.52221428574,80.69172499999999,1160.2857142857142
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,3,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,10,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,17,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,31,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,59,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,ALL_DEVELOPMENT,R,97,,,,0,4,,,,,,,,,,,
