window_id,symbol,asset_group,group,seed,matched_window_id,matched_calendar_key,calendar_key,month,split,listing_stage,window_type,status,row_count,tradable_rows,tradable_hours,window_realized_volatility,hourly_realized_volatility,atr_pct,high_low_range_pct,directional_efficiency,max_single_direction_move_pct,return_sign_flip_rate,reversal_legs,reversal_legs_per_hour,completed_grid_cycles,completed_grid_cycles_per_hour,gross_cycle_edge,fee_adjusted_cycle_capacity_window,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,base_volume_per_hour,quote_volume_per_hour,median_trade_size,aggtrade_event_count,aggtrade_event_count_per_hour,funding_abs_sum_window,funding_abs_per_hour,premium_abs_mean,mark_deviation_abs_mean,first_half_hourly_realized_volatility,second_half_hourly_realized_volatility,second_to_first_volatility_ratio,volatility_expansion
AMZNUSDT-O-20260209T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-09T21:00:00Z:2026-02-10T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,240,240,4.0,0.004965672195577491,0.0024828360977887454,0.00029185282450108844,0.003058103975535239,0.023969319271332286,0.0021497157598051736,0.632258064516129,3,0.75,2,0.5,0.0011,0.0022,0.00055,0.1625,300.25,178.7625,37388.7116,50.172000000000004,831,207.75,0,0.0,4.638825e-05,0.00011948577427228855,0.002745103872681688,0.002189373176311816,0.7975556765263752,0.0
AMZNUSDT-O-20260210T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-10T21:00:00Z:2026-02-11T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.004781265630181992,0.0018071485442288677,0.00018463284841718373,0.0040900779520738825,0.0008203445447080394,0.0027423622804907057,0.51953125,6,0.8571428571428571,5,0.7142857142857143,0.0011,0.0055000000000000005,0.0007857142857142857,0.24285714285714285,224.71428571428572,103.51857142857143,21531.542585714287,16.6444,1126,160.85714285714286,0.0,0.0,0.0002877944285714286,9.337680873938131e-05,0.0015336888276274187,0.0020443508265040678,1.3329632384860177,0.0
AMZNUSDT-O-20260211T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-11T21:00:00Z:2026-02-12T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.004762814972729487,0.0018001748512081577,0.00013133772137230744,0.005825052621273669,0.050732807215331924,0.004990947790771551,0.5769230769230769,4,0.5714285714285714,3,0.42857142857142855,0.0011,0.0033,0.0004714285714285714,0.530952380952381,105.57142857142857,48.291428571428575,9890.61837142857,22.50985,480,68.57142857142857,0.0,0.0,3.020688095238095e-05,0.0002279213852233555,0.001856600192894671,0.0017419227059740894,0.9382325352763294,0.0
AMZNUSDT-O-20260212T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-12T21:00:00Z:2026-02-13T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.007217061424491379,0.0027277928179831067,0.00025775356037175323,0.007227101631116676,0.028126870137642528,0.005216170127394885,0.47577092511013214,10,1.4285714285714286,9,1.2857142857142858,0.0011,0.0099,0.0014142857142857145,0.4142857142857143,275.14285714285717,399.4642857142857,79497.88894285714,31.777600000000003,1485,212.14285714285714,0.0,0.0,0.000115445,0.00012961635518581423,0.0029345802935247,0.0025039859856909987,0.8532688613823824,0.0
AMZNUSDT-nyse_20260213T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-02-13T21:00:00Z:2026-02-17T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,THREE_DAY_LONG_WEEKEND,READY,4740,4740,79.0,0.023128807509299118,0.0026021941491559406,0.0001863076383818753,0.013029479826944378,0.0005272275363409899,0.006234915526950971,0.5889830508474576,103,1.3037974683544304,102,1.2911392405063291,0.0011,0.11220000000000001,0.001420253164556962,0.560337552742616,200.69620253164558,81.9106329113924,16300.908670886074,15.9052,11086,140.32911392405063,0.00343052,4.342430379746835e-05,0.0006882033101265823,0.0003528776379663734,0.0021454865723838645,0.0029899358099336106,1.3935933454067124,0.0
AMZNUSDT-O-20260217T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-17T21:00:00Z:2026-02-18T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.00643361784590906,0.002431678978671778,0.00020233439531272893,0.008410052251803921,0.1097046413502118,0.004263758056519651,0.6108108108108108,5,0.7142857142857143,4,0.5714285714285714,0.0011,0.0044,0.0006285714285714285,0.5119047619047619,152.85714285714286,137.75142857142856,27773.87062857143,42.3318,679,97.0,0.0,0.0,0.00039596528571428575,0.00012211000279086054,0.0025966847043996733,0.002254629427769721,0.8682723104386167,0.0
AMZNUSDT-O-20260218T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-18T21:00:00Z:2026-02-19T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.0066137253140209715,0.0024997532029417224,0.0002277437249517871,0.006818292504748481,0.030625832223702472,0.0027757487216946344,0.5747663551401869,8,1.1428571428571428,7,1.0,0.0011,0.0077,0.0011,0.4261904761904762,173.71428571428572,146.73714285714286,30132.457342857142,45.2254,760,108.57142857142857,0.0,0.0,0.0003739374523809524,8.408975514554313e-05,0.0030134262421044424,0.0018484573120932759,0.6134071862340974,0.0
AMZNUSDT-O-20260219T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-19T21:00:00Z:2026-02-20T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.005366349776510329,0.002028289565261911,0.00017803719535363217,0.004237907350577255,0.05236051502146025,0.003556638246041363,0.6235294117647059,3,0.42857142857142855,2,0.2857142857142857,0.0011,0.0022,0.00031428571428571427,0.55,181.57142857142858,153.89714285714285,31666.91794285714,88.4811,597,85.28571428571429,5.565e-05,7.95e-06,0.0004501876666666667,8.962970351440228e-05,0.0021552326481494737,0.0018928521742205095,0.8782588626085219,0.0
AMZNUSDT-nyse_20260220T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-02-20T21:00:00Z:2026-02-23T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,REGULAR_WEEKEND,READY,3300,3300,55.0,0.019958054532729263,0.0026911435241999907,0.0001840189631188442,0.01746787244169437,0.018512130619753823,0.013970064148253731,0.6487562189054726,47,0.8545454545454545,46,0.8363636363636363,0.0011,0.050600000000000006,0.00092,0.5945454545454546,120.43636363636364,64.71600000000001,13560.12681090909,14.737100000000002,5271,95.83636363636364,0.00230614,4.192981818181818e-05,0.0007962708545454547,0.0002874981747587203,0.0014704855332693745,0.0035102961744178473,2.3871681121631307,1.0
AMZNUSDT-O-20260223T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-23T21:00:00Z:2026-02-24T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.007360313262077232,0.002781936923283847,0.0003196646865768216,0.004428870394704807,0.012658227848101338,0.002577194262095799,0.6067415730337079,6,0.8571428571428571,5,0.7142857142857143,0.0011,0.0055000000000000005,0.0007857142857142857,0.21428571428571427,268.14285714285717,180.46,37129.239728571425,47.3179,1255,179.28571428571428,5.683e-05,8.118571428571429e-06,0.0005836419761904762,0.0001221989419796958,0.002848516224357182,0.0027137246378057408,0.952680070628048,0.0
AMZNUSDT-O-20260224T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-24T21:00:00Z:2026-02-25T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.0063685441451365255,0.002407083431652526,0.0002586204823419838,0.005366297733697497,0.012316715542522555,0.004118773946360082,0.5758754863813229,10,1.4285714285714286,9,1.2857142857142858,0.0011,0.0099,0.0014142857142857145,0.30714285714285716,304.14285714285717,340.04714285714283,71159.32227142857,176.0052,1379,197.0,0.00024149,3.449857142857143e-05,0.0007877793095238095,6.605031348211325e-05,0.002580798493489083,0.002219815404459723,0.860127363705435,0.0
AMZNUSDT-O-20260225T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-25T21:00:00Z:2026-02-26T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.00594632793801081,0.0022475007054303005,0.00030047915264278907,0.004397285154382887,0.023468803663423046,0.003871522798967605,0.5510204081632653,7,1.0,6,0.8571428571428571,0.0011,0.0066,0.0009428571428571429,0.19523809523809524,350.14285714285717,233.03857142857143,48848.00094285714,61.84994999999999,1760,251.42857142857142,5.869e-05,8.384285714285714e-06,0.0004529395476190476,9.623032372406128e-05,0.00240481538530665,0.002078312249016452,0.8642294380329059,0.0
AMZNUSDT-O-20260226T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-02-26T21:00:00Z:2026-02-27T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.005890410150948504,0.002226365768511454,0.00021737010358951925,0.008521764392582147,0.08333333333333397,0.008188777982362621,0.5560165975103735,7,1.0,6,0.8571428571428571,0.0011,0.0066,0.0009428571428571429,0.32142857142857145,257.57142857142856,273.8042857142857,56792.44998571429,67.37800000000001,1186,169.42857142857142,0.0,0.0,0.0004995283571428571,9.645944985524428e-05,0.002117260560201329,0.002330368380882119,1.100652619090267,0.0
AMZNUSDT-nyse_20260227T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-02-27T21:00:00Z:2026-03-02T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,3300,3300,55.0,0.024795339151189203,0.0033434028490922406,0.000348837543384029,0.027703604806408554,0.03170853021636405,0.014385016412434783,0.5706756109247724,114,2.0727272727272728,113,2.0545454545454547,0.0011,0.12430000000000001,0.0022600000000000003,0.23363636363636364,512.4727272727273,569.4712727272727,118629.40662727274,58.007600000000004,20091,365.2909090909091,0.00552084,0.00010037890909090909,0.0012605751454545454,0.00047117198318656026,0.0028290631081135872,0.0037885468392177646,1.339152466536513,0.0
AMZNUSDT-O-20260302T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-03-02T21:00:00Z:2026-03-03T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.00716236739803497,0.0027071204190967572,0.0003016662935661137,0.011302424009234294,0.09970089730807463,0.009579281794550924,0.5932835820895522,7,1.0,6,0.8571428571428571,0.0011,0.0066,0.0009428571428571429,0.2785714285714286,235.71428571428572,262.0757142857143,54225.06124285714,191.40795,1070,152.85714285714286,0.0,0.0,0.0003935107619047619,0.00014223998586187253,0.0025595160532258126,0.0028470826296861434,1.112351933131228,0.0
AMZNUSDT-O-20260303T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,,,O:2026-03-03T21:00:00Z:2026-03-04T07:00:00Z,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,ORDINARY_WEEKDAY_OVERNIGHT,READY,420,420,7.0,0.00921738247748681,0.0034838431106277872,0.0004840182935402817,0.01379608710282173,0.048080249048772755,0.009809107082752282,0.5094850948509485,20,2.857142857142857,19,2.7142857142857144,0.0011,0.020900000000000002,0.002985714285714286,0.05476190476190476,730.1428571428571,875.8771428571429,181293.17554285712,200.5281,3072,438.85714285714283,0.00027538,3.934e-05,0.0004982656428571429,0.0001103422084438923,0.0034947031693246438,0.0034729490922341035,0.993775128805934,0.0
