window_id,symbol,asset_group,group,seed,calendar_key,month,split,diagnostic_view,status,skip_reason,tradable_rows,tradable_hours,window_realized_volatility,hourly_realized_volatility,directional_efficiency,completed_grid_cycles_per_hour,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,aggtrade_event_count_per_hour
AMZNUSDT-O-20260209T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-09T21:00:00Z:2026-02-10T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,240,4.0,,,,,,,,
AMZNUSDT-O-20260210T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-10T21:00:00Z:2026-02-11T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-O-20260211T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-11T21:00:00Z:2026-02-12T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-O-20260212T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-12T21:00:00Z:2026-02-13T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-nyse_20260213T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,W:2026-02-13T21:00:00Z:2026-02-17T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,W_HEAD_10H,READY,,600,10.0,0.006144943655075528,0.001943201804343877,0.005758157389635547,0.7,0.00077,0.4066666666666667,150.6,104.4
AMZNUSDT-nyse_20260213T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,W:2026-02-13T21:00:00Z:2026-02-17T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,W_TAIL_10H,READY,,600,10.0,0.010929877350144897,0.003456330697274357,0.015962441314554078,1.6,0.0017600000000000003,0.68,76.2,56.9
AMZNUSDT-O-20260217T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-17T21:00:00Z:2026-02-18T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-O-20260218T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-18T21:00:00Z:2026-02-19T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-O-20260219T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,O,,O:2026-02-19T21:00:00Z:2026-02-20T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,O_FULL,SKIPPED,INSUFFICIENT_10H_TRADABLE_ROWS,420,7.0,,,,,,,,
AMZNUSDT-nyse_20260220T210000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,W:2026-02-20T21:00:00Z:2026-02-23T07:00:00Z,2026-02,DESCRIPTIVE_EXPOSED,W_HEAD_10H,READY,,600,10.0,0.004372936019231187,0.0013828437882960425,0.028019323671496215,0.0,0.0,0.5866666666666667,144.7,129.5
