scope,month,group,seed,calendar_key,window_type,listing_stage,block_count,symbol_count,window_realized_volatility,hourly_realized_volatility,directional_efficiency,completed_grid_cycles_per_hour,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,base_volume_per_hour,quote_volume_per_hour,median_trade_size,aggtrade_event_count_per_hour
ALL_CORE,2026-03,W,,,,,4,8,0.022976080793460328,0.003098094102179058,0.0272054900211217,1.2772727272727273,0.0014050000000000002,0.17057239057239057,874.9681818181818,1809.5123939393939,155444.09854537877,84.78142499999998,487.74545454545455
ALL_CORE,2026-03,O,,,,,18,8,0.011122930883915038,0.004204072709857005,0.04103126980763525,3.1071428571428568,0.003417857142857143,0.04107142857142857,1367.3214285714287,3450.910357142857,335031.4856464286,157.4162375,742.7857142857142
ALL_CORE,2026-03,R,3,,,,0,8,,,,,,,,,,,
ALL_CORE,2026-03,R,10,,,,0,8,,,,,,,,,,,
ALL_CORE,2026-03,R,17,,,,0,8,,,,,,,,,,,
ALL_CORE,2026-03,R,31,,,,0,8,,,,,,,,,,,
ALL_CORE,2026-03,R,59,,,,0,8,,,,,,,,,,,
ALL_CORE,2026-03,R,97,,,,0,8,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,W,,,,,4,4,0.017685042688039932,0.0023846506695866174,0.028534652664983718,0.8681818181818182,0.000955,0.3515460157126824,449.65909090909093,1108.0359713804714,87748.02906412458,73.31715,226.46363636363634
TRADITIONAL_EQUITY,2026-03,O,,,,,18,4,0.008082384316368464,0.0030548541287942496,0.03560307142487122,1.7142857142857144,0.0018857142857142857,0.09285714285714286,966.3928571428572,1863.9660714285715,239922.88214285715,201.62922500000002,415.7857142857143
TRADITIONAL_EQUITY,2026-03,R,3,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,R,10,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,R,17,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,R,31,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,R,59,,,,0,4,,,,,,,,,,,
TRADITIONAL_EQUITY,2026-03,R,97,,,,0,4,,,,,,,,,,,
CRYPTO_SENSITIVE_EQUITY,2026-03,W,,,,,4,4,0.029803112839861166,0.004018650915522177,0.027832693661708548,2.131818181818182,0.0023450000000000003,0.09317901234567902,1294.3597643097642,2457.461931818182,274473.95772553026,94.36772500000001,738.1775252525252
