scope,month,group,seed,calendar_key,window_type,listing_stage,block_count,symbol_count,window_realized_volatility,hourly_realized_volatility,directional_efficiency,completed_grid_cycles_per_hour,fee_adjusted_cycle_capacity_per_hour,zero_trade_ratio,trades_per_hour,base_volume_per_hour,quote_volume_per_hour,median_trade_size,aggtrade_event_count_per_hour
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,W,,,,,13,1,0.011948038600177445,0.0016110731961890283,0.019316068107025266,0.4909090909090909,0.00054,0.23212121212121212,439.92727272727274,263.2490909090909,61760.716378181816,21.636799999999997,280.07272727272726
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,O,,,,,50,1,0.005568030966945249,0.002104517890120519,0.047454272647933685,0.8571428571428571,0.0009428571428571429,0.1130952380952381,609.6428571428571,483.26571428571424,105966.99832142857,30.8545,379.0
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,3,,,,0,1,,,,,,,,,,,
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,10,,,,0,1,,,,,,,,,,,
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,17,,,,0,1,,,,,,,,,,,
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,31,,,,0,1,,,,,,,,,,,
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,59,,,,0,1,,,,,,,,,,,
SYMBOL:AMZNUSDT,ALL_DEVELOPMENT,R,97,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,W,,,,,13,1,0.02465052360649089,0.003323875925028612,0.0294975688816855,1.8181818181818181,0.002,0.0903030303030303,1163.8727272727272,870.5218181818182,151437.1706581818,64.7904,669.6666666666666
SYMBOL:COINUSDT,ALL_DEVELOPMENT,O,,,,,50,1,0.011742293065285393,0.004438169610340497,0.04124566014695166,3.2857142857142856,0.0036142857142857144,0.009523809523809525,1544.7857142857142,1373.687142857143,259977.2097,30.6288,933.5
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,3,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,10,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,17,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,31,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,59,,,,0,1,,,,,,,,,,,
SYMBOL:COINUSDT,ALL_DEVELOPMENT,R,97,,,,0,1,,,,,,,,,,,
