window_id,symbol,group,seed,matched_window_id,calendar_key,market_close,force_close_at,observation_start,observation_end,tradable_start,tradable_end,row_start_index,row_end_index,row_count,observation_rows,tradable_rows,duration_minutes,month,split,listing_stage,status,skip_reason,data_gap_count
AMZNUSDT-nyse_20260213T210000Z,AMZNUSDT,W,,,NYSE:2026-02-13T21:00:00+00:00:2026-02-17T07:00:00+00:00,2026-02-13T21:00:00+00:00,2026-02-17T07:00:00+00:00,2026-02-13T21:00:00+00:00,2026-02-13T23:59:59.999000+00:00,2026-02-14T00:00:00+00:00,2026-02-17T06:59:59.999000+00:00,6140,11060,4920,180,4740,4920.0,2026-02,DESCRIPTIVE_ONLY,LISTING_DAYS_1_14,READY,,0
AMZNUSDT-nyse_20260220T210000Z,AMZNUSDT,W,,,NYSE:2026-02-20T21:00:00+00:00:2026-02-23T07:00:00+00:00,2026-02-20T21:00:00+00:00,2026-02-23T07:00:00+00:00,2026-02-20T21:00:00+00:00,2026-02-20T23:59:59.999000+00:00,2026-02-21T00:00:00+00:00,2026-02-23T06:59:59.999000+00:00,16220,19700,3480,180,3300,3480.0,2026-02,DESCRIPTIVE_ONLY,LISTING_DAYS_1_14,READY,,0
AMZNUSDT-nyse_20260227T210000Z,AMZNUSDT,W,,,NYSE:2026-02-27T21:00:00+00:00:2026-03-02T07:00:00+00:00,2026-02-27T21:00:00+00:00,2026-03-02T07:00:00+00:00,2026-02-27T21:00:00+00:00,2026-02-27T23:59:59.999000+00:00,2026-02-28T00:00:00+00:00,2026-03-02T06:59:59.999000+00:00,26300,29780,3480,180,3300,3480.0,2026-02,DESCRIPTIVE_ONLY,LISTING_DAYS_15_30,READY,,0
AMZNUSDT-nyse_20260306T210000Z,AMZNUSDT,W,,,NYSE:2026-03-06T21:00:00+00:00:2026-03-09T06:00:00+00:00,2026-03-06T21:00:00+00:00,2026-03-09T06:00:00+00:00,2026-03-06T21:00:00+00:00,2026-03-06T23:59:59.999000+00:00,2026-03-07T00:00:00+00:00,2026-03-09T05:59:59.999000+00:00,36380,39800,3420,180,3240,3420.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,READY,,0
AMZNUSDT-nyse_20260313T200000Z,AMZNUSDT,W,,,NYSE:2026-03-13T20:00:00+00:00:2026-03-16T06:00:00+00:00,2026-03-13T20:00:00+00:00,2026-03-16T06:00:00+00:00,2026-03-13T20:00:00+00:00,2026-03-13T22:59:59.999000+00:00,2026-03-13T23:00:00+00:00,2026-03-16T05:59:59.999000+00:00,46400,49880,3480,180,3300,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260320T200000Z,AMZNUSDT,W,,,NYSE:2026-03-20T20:00:00+00:00:2026-03-23T06:00:00+00:00,2026-03-20T20:00:00+00:00,2026-03-23T06:00:00+00:00,2026-03-20T20:00:00+00:00,2026-03-20T22:59:59.999000+00:00,2026-03-20T23:00:00+00:00,2026-03-23T05:59:59.999000+00:00,56480,59960,3480,180,3300,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260327T200000Z,AMZNUSDT,W,,,NYSE:2026-03-27T20:00:00+00:00:2026-03-30T06:00:00+00:00,2026-03-27T20:00:00+00:00,2026-03-30T06:00:00+00:00,2026-03-27T20:00:00+00:00,2026-03-27T22:59:59.999000+00:00,2026-03-27T23:00:00+00:00,2026-03-30T05:59:59.999000+00:00,66560,70040,3480,180,3300,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260402T200000Z,AMZNUSDT,W,,,NYSE:2026-04-02T20:00:00+00:00:2026-04-06T06:00:00+00:00,2026-04-02T20:00:00+00:00,2026-04-06T06:00:00+00:00,2026-04-02T20:00:00+00:00,2026-04-02T22:59:59.999000+00:00,2026-04-02T23:00:00+00:00,2026-04-06T05:59:59.999000+00:00,75200,80120,4920,180,4740,4920.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260410T200000Z,AMZNUSDT,W,,,NYSE:2026-04-10T20:00:00+00:00:2026-04-13T06:00:00+00:00,2026-04-10T20:00:00+00:00,2026-04-13T06:00:00+00:00,2026-04-10T20:00:00+00:00,2026-04-10T22:59:59.999000+00:00,2026-04-10T23:00:00+00:00,2026-04-13T05:59:59.999000+00:00,86720,90200,3480,180,3300,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260417T200000Z,AMZNUSDT,W,,,NYSE:2026-04-17T20:00:00+00:00:2026-04-20T06:00:00+00:00,2026-04-17T20:00:00+00:00,2026-04-20T06:00:00+00:00,2026-04-17T20:00:00+00:00,2026-04-17T22:59:59.999000+00:00,2026-04-17T23:00:00+00:00,2026-04-20T05:59:59.999000+00:00,96800,100280,3480,180,3300,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260424T200000Z,AMZNUSDT,W,,,NYSE:2026-04-24T20:00:00+00:00:2026-04-27T06:00:00+00:00,2026-04-24T20:00:00+00:00,2026-04-27T06:00:00+00:00,2026-04-24T20:00:00+00:00,2026-04-24T22:59:59.999000+00:00,2026-04-24T23:00:00+00:00,2026-04-27T05:59:59.999000+00:00,106880,110360,3480,180,3300,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260501T200000Z,AMZNUSDT,W,,,NYSE:2026-05-01T20:00:00+00:00:2026-05-04T06:00:00+00:00,2026-05-01T20:00:00+00:00,2026-05-04T06:00:00+00:00,2026-05-01T20:00:00+00:00,2026-05-01T22:59:59.999000+00:00,2026-05-01T23:00:00+00:00,2026-05-04T05:59:59.999000+00:00,116960,120440,3480,180,3300,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260508T200000Z,AMZNUSDT,W,,,NYSE:2026-05-08T20:00:00+00:00:2026-05-11T06:00:00+00:00,2026-05-08T20:00:00+00:00,2026-05-11T06:00:00+00:00,2026-05-08T20:00:00+00:00,2026-05-08T22:59:59.999000+00:00,2026-05-08T23:00:00+00:00,2026-05-11T05:59:59.999000+00:00,127040,130520,3480,180,3300,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260515T200000Z,AMZNUSDT,W,,,NYSE:2026-05-15T20:00:00+00:00:2026-05-18T06:00:00+00:00,2026-05-15T20:00:00+00:00,2026-05-18T06:00:00+00:00,2026-05-15T20:00:00+00:00,2026-05-15T22:59:59.999000+00:00,2026-05-15T23:00:00+00:00,2026-05-18T05:59:59.999000+00:00,137120,140600,3480,180,3300,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260522T200000Z,AMZNUSDT,W,,,NYSE:2026-05-22T20:00:00+00:00:2026-05-26T06:00:00+00:00,2026-05-22T20:00:00+00:00,2026-05-26T06:00:00+00:00,2026-05-22T20:00:00+00:00,2026-05-22T22:59:59.999000+00:00,2026-05-22T23:00:00+00:00,2026-05-26T05:59:59.999000+00:00,147200,152120,4920,180,4740,4920.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260529T200000Z,AMZNUSDT,W,,,NYSE:2026-05-29T20:00:00+00:00:2026-06-01T06:00:00+00:00,2026-05-29T20:00:00+00:00,2026-06-01T06:00:00+00:00,2026-05-29T20:00:00+00:00,2026-05-29T22:59:59.999000+00:00,2026-05-29T23:00:00+00:00,2026-06-01T05:59:59.999000+00:00,157280,160760,3480,180,3300,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260605T200000Z,AMZNUSDT,W,,,NYSE:2026-06-05T20:00:00+00:00:2026-06-08T06:00:00+00:00,2026-06-05T20:00:00+00:00,2026-06-08T06:00:00+00:00,2026-06-05T20:00:00+00:00,2026-06-05T22:59:59.999000+00:00,2026-06-05T23:00:00+00:00,2026-06-08T05:59:59.999000+00:00,167360,170840,3480,180,3300,3480.0,2026-06,SEALED_SHORT_OOS,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260612T200000Z,AMZNUSDT,W,,,NYSE:2026-06-12T20:00:00+00:00:2026-06-15T06:00:00+00:00,2026-06-12T20:00:00+00:00,2026-06-15T06:00:00+00:00,2026-06-12T20:00:00+00:00,2026-06-12T22:59:59.999000+00:00,2026-06-12T23:00:00+00:00,2026-06-15T05:59:59.999000+00:00,177440,180920,3480,180,3300,3480.0,2026-06,SEALED_SHORT_OOS,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260618T200000Z,AMZNUSDT,W,,,NYSE:2026-06-18T20:00:00+00:00:2026-06-22T06:00:00+00:00,2026-06-18T20:00:00+00:00,2026-06-22T06:00:00+00:00,2026-06-18T20:00:00+00:00,2026-06-18T22:59:59.999000+00:00,2026-06-18T23:00:00+00:00,2026-06-22T05:59:59.999000+00:00,186080,191000,4920,180,4740,4920.0,2026-06,SEALED_SHORT_OOS,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260626T200000Z,AMZNUSDT,W,,,NYSE:2026-06-26T20:00:00+00:00:2026-06-29T06:00:00+00:00,2026-06-26T20:00:00+00:00,2026-06-29T06:00:00+00:00,2026-06-26T20:00:00+00:00,2026-06-26T22:59:59.999000+00:00,2026-06-26T23:00:00+00:00,2026-06-29T05:59:59.999000+00:00,197600,201080,3480,180,3300,3480.0,2026-06,SEALED_SHORT_OOS,LISTING_AFTER_30_DAYS,READY,,0
AMZNUSDT-nyse_20260702T200000Z,AMZNUSDT,W,,,NYSE:2026-07-02T20:00:00+00:00:2026-07-06T06:00:00+00:00,2026-07-02T20:00:00+00:00,2026-07-06T06:00:00+00:00,2026-07-02T20:00:00+00:00,2026-07-02T22:59:59.999000+00:00,2026-07-02T23:00:00+00:00,2026-07-06T05:59:59.999000+00:00,206240,211160,4920,180,4740,4920.0,2026-07,DESCRIPTIVE_ONLY,LISTING_AFTER_30_DAYS,READY,,0
