fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
1,P4_R2_V150_N10_F20,3,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.484791661215731,0.0071845109068321535,0.04572633190661313,0.0
1,P4_R2_V150_N10_F20,10,nyse_20241018T200000Z,nyse_20241108T210000Z,-4.969813989917803,0.007184630176511841,0.13533928194292558,0.0
1,P4_R2_V150_N10_F20,17,nyse_20241018T200000Z,nyse_20241108T210000Z,-4.516227192359219,0.006617611175943819,0.14693023806375566,0.0
1,P4_R2_V150_N10_F20,31,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.937858253706264,0.0077508263602838615,0.04238303477346896,0.0
1,P4_R2_V150_N10_F20,59,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.032078536630065,0.006618583849094861,0.04963081012446545,0.0
1,P4_R2_V150_N10_F20,97,nyse_20241018T200000Z,nyse_20241108T210000Z,-4.910484530984074,0.007110468430526972,0.13675087320861856,0.0
2,P4_R2_V150_N10_F20,3,nyse_20241115T210000Z,nyse_20241129T180000Z,1.7202288731632944,0.0015861715820403972,2.35564532601704,0.5
2,P4_R2_V150_N10_F20,10,nyse_20241115T210000Z,nyse_20241129T180000Z,0.7990922181643324,0.0015869335119466472,1.6294310789871311,0.5
2,P4_R2_V150_N10_F20,17,nyse_20241115T210000Z,nyse_20241129T180000Z,1.543009197172135,0.001586233640441439,2.2159378336777715,0.5
2,P4_R2_V150_N10_F20,31,nyse_20241115T210000Z,nyse_20241129T180000Z,1.3465775896837593,0.0014111854966300332,2.192771603112631,0.75
2,P4_R2_V150_N10_F20,59,nyse_20241115T210000Z,nyse_20241129T180000Z,1.1524894744716154,0.0014108354723956584,2.021105487689007,0.75
2,P4_R2_V150_N10_F20,97,nyse_20241115T210000Z,nyse_20241129T180000Z,1.0650250088480107,0.001762891426049719,1.7551691734318224,0.5
3,P4_R2_V150_N10_F20,3,nyse_20241206T210000Z,nyse_20241224T180000Z,3.0792574812746976,0.000849649496904163,5.530187878199301,0.5
3,P4_R2_V150_N10_F20,10,nyse_20241206T210000Z,nyse_20241224T180000Z,3.033549565973889,0.000849649496904163,5.4629426266759475,0.5
3,P4_R2_V150_N10_F20,17,nyse_20241206T210000Z,nyse_20241224T180000Z,3.0781106081330303,0.000849649496904163,5.5285006042912865,0.5
3,P4_R2_V150_N10_F20,31,nyse_20241206T210000Z,nyse_20241224T180000Z,1.528230125306599,0.0018289414255187426,2.0444772205274067,0.25
3,P4_R2_V150_N10_F20,59,nyse_20241206T210000Z,nyse_20241224T180000Z,2.2043405718536406,0.0009854927659492074,3.795987763708319,0.5
3,P4_R2_V150_N10_F20,97,nyse_20241206T210000Z,nyse_20241224T180000Z,2.8164639441590693,0.0007924137282296912,5.442855802188162,0.5
4,P4_R2_V150_N10_F20,3,nyse_20241227T210000Z,nyse_20250108T210000Z,3.953803928059407,0.001502681365396884,4.288957342442936,0.75
4,P4_R2_V150_N10_F20,10,nyse_20241227T210000Z,nyse_20250108T210000Z,3.802168421057422,0.0015026658203812588,4.1628526195637505,0.75
4,P4_R2_V150_N10_F20,17,nyse_20241227T210000Z,nyse_20250108T210000Z,3.8579348376908538,0.0012430032405635503,4.879650824504036,0.75
4,P4_R2_V150_N10_F20,31,nyse_20241227T210000Z,nyse_20250108T210000Z,3.2741183380870136,0.0015026904346781339,3.723546931664195,0.75
4,P4_R2_V150_N10_F20,59,nyse_20241227T210000Z,nyse_20250108T210000Z,3.1347074232390066,0.0015027113021781342,3.6075429614252457,0.75
4,P4_R2_V150_N10_F20,97,nyse_20241227T210000Z,nyse_20250108T210000Z,3.800811542367838,0.0015026730134281338,4.161708758661365,0.75
5,P4_R2_V150_N10_F20,3,nyse_20250110T210000Z,nyse_20250131T210000Z,2.2567159249572204,0.002580009981041621,2.0933658888628224,0.5
5,P4_R2_V150_N10_F20,10,nyse_20250110T210000Z,nyse_20250131T210000Z,2.257561556811387,0.0025792381333593294,2.0941029095048243,0.5
5,P4_R2_V150_N10_F20,17,nyse_20250110T210000Z,nyse_20250131T210000Z,2.722736566279497,0.002579505060494746,2.3194084244969844,0.5
5,P4_R2_V150_N10_F20,31,nyse_20250110T210000Z,nyse_20250131T210000Z,2.254943690292637,0.0025820999323957878,2.091622976129549,0.5
5,P4_R2_V150_N10_F20,59,nyse_20250110T210000Z,nyse_20250131T210000Z,2.518642504010755,0.00258006909018485,2.220239854037352,0.5
5,P4_R2_V150_N10_F20,97,nyse_20250110T210000Z,nyse_20250131T210000Z,2.1600371016153,0.0025805627949478716,2.0463013658513463,0.5
6,P4_R2_V150_N10_F20,3,nyse_20250207T210000Z,nyse_20250228T210000Z,0.13826016306841393,0.005256463795015272,1.0304370086642327,0.5
6,P4_R2_V150_N10_F20,10,nyse_20250207T210000Z,nyse_20250228T210000Z,0.07073480267673915,0.005256463731192354,1.015572884014743,0.5
6,P4_R2_V150_N10_F20,17,nyse_20250207T210000Z,nyse_20250228T210000Z,0.4663337909288223,0.005256385725343395,1.1026633585761552,0.5
6,P4_R2_V150_N10_F20,31,nyse_20250207T210000Z,nyse_20250228T210000Z,0.040251198874658556,0.005267299594153273,1.008800697358352,0.5
6,P4_R2_V150_N10_F20,59,nyse_20250207T210000Z,nyse_20250228T210000Z,0.4667097672892384,0.005256461374937146,1.1027429337588377,0.5
6,P4_R2_V150_N10_F20,97,nyse_20250207T210000Z,nyse_20250228T210000Z,0.398341843616314,0.005256385671504854,1.087687884321169,0.5
7,P4_R2_V150_N10_F20,3,nyse_20250307T210000Z,nyse_20250328T200000Z,0.04250113991812987,0.0018293827923819602,1.024389908358151,0.5
7,P4_R2_V150_N10_F20,10,nyse_20250307T210000Z,nyse_20250328T200000Z,0.002389857529588979,0.001877611782529095,1.001341746789594,0.5
7,P4_R2_V150_N10_F20,17,nyse_20250307T210000Z,nyse_20250328T200000Z,0.8610797214760326,0.0014694764478786495,1.5919515387590095,0.5
7,P4_R2_V150_N10_F20,31,nyse_20250307T210000Z,nyse_20250328T200000Z,1.2569840203755371,0.0014694764478786495,1.8641169992730995,0.75
7,P4_R2_V150_N10_F20,59,nyse_20250307T210000Z,nyse_20250328T200000Z,1.5656583074373103,0.0012463284474255292,2.226882607000988,0.75
7,P4_R2_V150_N10_F20,97,nyse_20250307T210000Z,nyse_20250328T200000Z,1.0384224280531122,0.00124630468812605,1.8137416612665722,0.5
8,P4_R2_V150_N10_F20,3,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.5496094930682194,0.003681071720384902,0.13421630752632213,0.0
8,P4_R2_V150_N10_F20,10,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.5508722950536358,0.0036824619916427143,0.13411452010815123,0.0
8,P4_R2_V150_N10_F20,17,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.5503111724640526,0.003682013896556777,0.1341996377142385,0.0
8,P4_R2_V150_N10_F20,31,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.8990274390166784,0.003682148163603652,0.015850493309776243,0.0
8,P4_R2_V150_N10_F20,59,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.899161145743761,0.003682314815866673,0.015849645292545355,0.0
8,P4_R2_V150_N10_F20,97,nyse_20250404T200000Z,nyse_20250425T200000Z,-2.5506142134932195,0.003682328452791152,0.13417072709799605,0.0
9,P4_R2_V150_N10_F20,3,nyse_20250502T200000Z,nyse_20250523T200000Z,4.015256049398727,0.0031720549207248706,2.5822771632848847,0.75
9,P4_R2_V150_N10_F20,10,nyse_20250502T200000Z,nyse_20250523T200000Z,2.749104238027586,0.0031720298128602876,2.0833379571662425,0.75
9,P4_R2_V150_N10_F20,17,nyse_20250502T200000Z,nyse_20250523T200000Z,4.084305888082284,0.0027009267450315293,2.890233553906793,0.75
