fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
1,P9_SEVERE_EVENT_FREEZE,3,nyse_20241018T200000Z,nyse_20241108T210000Z,-6.045215202032078,0.007885040332852587,0.04166387443114565,0.0
1,P9_SEVERE_EVENT_FREEZE,10,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.530198224842483,0.00788511047016769,0.12331630517966707,0.0
1,P9_SEVERE_EVENT_FREEZE,17,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.0765764013630665,0.007318047687198628,0.13286701960082542,0.0
1,P9_SEVERE_EVENT_FREEZE,31,nyse_20241018T200000Z,nyse_20241108T210000Z,-6.498217280001778,0.008451275143153253,0.038870293250026985,0.0
1,P9_SEVERE_EVENT_FREEZE,59,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.592448462596412,0.007319046256552795,0.04488094032923827,0.0
1,P9_SEVERE_EVENT_FREEZE,97,nyse_20241018T200000Z,nyse_20241108T210000Z,-5.470882848658755,0.007810966327620321,0.12448687217591904,0.0
2,P9_SEVERE_EVENT_FREEZE,3,nyse_20241115T210000Z,nyse_20241129T180000Z,1.2809272440183077,0.0015006494644622644,2.066977394082259,0.5
2,P9_SEVERE_EVENT_FREEZE,10,nyse_20241115T210000Z,nyse_20241129T180000Z,0.30225291249762176,0.0016512081072352764,1.2288119462147198,0.5
2,P9_SEVERE_EVENT_FREEZE,17,nyse_20241115T210000Z,nyse_20241129T180000Z,1.1037047840604812,0.0015007115228633063,1.9193179095761943,0.5
2,P9_SEVERE_EVENT_FREEZE,31,nyse_20241115T210000Z,nyse_20241129T180000Z,0.9072898326387719,0.0013256633790519007,1.8555054840615492,0.75
2,P9_SEVERE_EVENT_FREEZE,59,nyse_20241115T210000Z,nyse_20241129T180000Z,0.7131878298849613,0.0013253133548175255,1.6726596273369212,0.75
2,P9_SEVERE_EVENT_FREEZE,97,nyse_20241115T210000Z,nyse_20241129T180000Z,0.6257178094280236,0.0016773693084715866,1.4662940104095021,0.5
