fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
1,P7_WIND_DOWN,3,nyse_20241018T200000Z,nyse_20241108T210000Z,-1.6306620539494525,0.003462689055486592,0.41134547896897977,0.25
2,P7_WIND_DOWN,3,nyse_20241115T210000Z,nyse_20241129T180000Z,1.9549477128637058,0.0015861715820403972,2.5406180950084605,0.75
3,P7_WIND_DOWN,3,nyse_20241206T210000Z,nyse_20241224T180000Z,1.6137595346080418,0.0017230013014440226,2.1707474721983475,0.25
4,P7_WIND_DOWN,3,nyse_20241227T210000Z,nyse_20250108T210000Z,1.7762017430132488,0.0020350509183808523,2.091005713278693,0.75
5,P7_WIND_DOWN,3,nyse_20250110T210000Z,nyse_20250131T210000Z,1.0311252586759974,0.002580009981041621,1.4995742585556315,0.5
6,P7_WIND_DOWN,3,nyse_20250207T210000Z,nyse_20250228T210000Z,2.244451464543051,0.005256463795015272,1.533736070500351,0.5
7,P7_WIND_DOWN,3,nyse_20250307T210000Z,nyse_20250328T200000Z,0.04250113991812987,0.0018293827923819602,1.024389908358151,0.5
8,P7_WIND_DOWN,3,nyse_20250404T200000Z,nyse_20250425T200000Z,0.7356034505746051,0.0009562677453018811,1.9615552942528467,0.5
9,P7_WIND_DOWN,3,nyse_20250502T200000Z,nyse_20250523T200000Z,1.2592860032137032,0.0036824661516576917,1.427460141978096,0.75
10,P7_WIND_DOWN,3,nyse_20250530T200000Z,nyse_20250618T200000Z,0.2638724681685136,0.0011201848462979683,1.2944519257698515,0.5
11,P7_WIND_DOWN,3,nyse_20250620T200000Z,nyse_20250711T200000Z,2.7174205623304273,0.0008295022252140391,5.0949567097744115,0.5
12,P7_WIND_DOWN,3,nyse_20250718T200000Z,nyse_20250808T200000Z,0.33348154200348046,0.0023976278667601227,1.1738601445551415,0.75
13,P7_WIND_DOWN,3,nyse_20250815T200000Z,nyse_20250905T200000Z,0.10427207751875586,0.0004897160358749806,1.266154439205906,0.25
14,P7_WIND_DOWN,3,nyse_20250912T200000Z,nyse_20251003T200000Z,1.3409127937817598,0.0,,0.75
15,P7_WIND_DOWN,3,nyse_20251010T200000Z,nyse_20251031T200000Z,1.2976161522436787,0.002579514433867986,1.403131728202121,0.5
16,P7_WIND_DOWN,3,nyse_20251107T210000Z,nyse_20251126T210000Z,-1.8132253348429441,0.006260020547422818,0.7035204067021282,0.25
17,P7_WIND_DOWN,3,nyse_20251128T180000Z,nyse_20251219T210000Z,0.6340071490959607,0.0008555056854578487,1.9263631438589643,0.75
